Transaction_ID,Order_ID,Transaction_Mode,Rewards
TR_41000218,OR_31004598,COD,No
TR_41000219,OR_31004325,Debit Card,Yes
TR_41000220,OR_31005356,Credit Card,Yes
TR_41000221,OR_31009065,Credit Card,Yes
TR_41000222,OR_31005207,COD,Yes
TR_41000223,OR_31004569,UPI,No
TR_41000224,OR_31005919,Debit Card,No
TR_41000225,OR_31007731,Debit Card,No
TR_41000226,OR_31000172,Debit Card,No
TR_41000227,OR_31005186,Wallet,No
TR_41000228,OR_31008261,UPI,No
TR_41000229,OR_31006991,UPI,No
TR_41000230,OR_31003686,Debit Card,Yes
TR_41000231,OR_31009724,Wallet,No
TR_41000232,OR_31001741,Wallet,No
TR_41000233,OR_31008647,UPI,No
TR_41000234,OR_31002386,Wallet,No
TR_41000235,OR_31005151,Wallet,No
TR_41000236,OR_31003111,Debit Card,Yes
TR_41000237,OR_31008286,Credit Card,No
TR_41000238,OR_31006633,COD,No
TR_41000239,OR_31006138,Debit Card,No
TR_41000240,OR_31009006,Credit Card,Yes
TR_41000241,OR_31001314,Debit Card,Yes
TR_41000242,OR_31007010,Debit Card,Yes
TR_41000243,OR_31005094,Debit Card,Yes
TR_41000244,OR_31006187,Wallet,No
TR_41000245,OR_31001976,UPI,No
TR_41000246,OR_31006066,Credit Card,No
TR_41000247,OR_31005376,COD,No
TR_41000248,OR_31008472,Debit Card,No
TR_41000249,OR_31003340,COD,Yes
TR_41000250,OR_31002986,UPI,Yes
TR_41000251,OR_31001492,Wallet,No
TR_41000252,OR_31007764,Debit Card,Yes
TR_41000253,OR_31009827,Credit Card,No
TR_41000254,OR_31007480,Credit Card,Yes
TR_41000255,OR_31007676,Debit Card,Yes
TR_41000256,OR_31003973,Wallet,Yes
TR_41000257,OR_31005031,Wallet,Yes
TR_41000258,OR_31002023,UPI,Yes
TR_41000259,OR_31006407,Credit Card,No
TR_41000260,OR_31005678,Credit Card,Yes
TR_41000261,OR_31004361,Debit Card,No
TR_41000262,OR_31001455,COD,Yes
TR_41000263,OR_31008548,Debit Card,Yes
TR_41000264,OR_31001630,Credit Card,Yes
TR_41000265,OR_31007779,UPI,No
TR_41000266,OR_31004707,Credit Card,Yes
TR_41000267,OR_31006605,Debit Card,Yes
TR_41000268,OR_31005644,Debit Card,No
TR_41000269,OR_31004847,Credit Card,No
TR_41000270,OR_31000286,Debit Card,Yes
TR_41000271,OR_31001590,Debit Card,No
TR_41000272,OR_31008166,Credit Card,No
TR_41000273,OR_31000402,UPI,No
TR_41000274,OR_31005304,Debit Card,Yes
TR_41000275,OR_31009022,Wallet,Yes
TR_41000276,OR_31000344,Credit Card,No
TR_41000277,OR_31008344,Wallet,Yes
TR_41000278,OR_31002904,UPI,No
TR_41000279,OR_31009207,COD,No
TR_41000280,OR_31009284,Debit Card,No
TR_41000281,OR_31008566,Credit Card,Yes
TR_41000282,OR_31005020,Debit Card,No
TR_41000283,OR_31000178,COD,No
TR_41000284,OR_31004136,COD,No
TR_41000285,OR_31007385,Credit Card,Yes
TR_41000286,OR_31001028,Credit Card,Yes
TR_41000287,OR_31006708,UPI,No
TR_41000288,OR_31009288,Wallet,Yes
TR_41000289,OR_31003044,Credit Card,Yes
TR_41000290,OR_31005489,Wallet,Yes
TR_41000291,OR_31006109,Credit Card,Yes
TR_41000292,OR_31009538,Debit Card,No
TR_41000293,OR_31007193,UPI,Yes
TR_41000294,OR_31000930,COD,Yes
TR_41000295,OR_31000670,Wallet,No
TR_41000296,OR_31001386,Wallet,No
TR_41000297,OR_31006313,COD,Yes
TR_41000298,OR_31005522,COD,Yes
TR_41000299,OR_31004008,UPI,No
TR_41000300,OR_31008361,Debit Card,Yes
TR_41000301,OR_31003816,UPI,No
TR_41000302,OR_31003532,COD,Yes
TR_41000303,OR_31001550,Credit Card,Yes
TR_41000304,OR_31002798,COD,No
TR_41000305,OR_31002850,Debit Card,Yes
TR_41000306,OR_31006399,Wallet,Yes
TR_41000307,OR_31006057,UPI,No
TR_41000308,OR_31007306,Credit Card,No
TR_41000309,OR_31009372,Credit Card,Yes
TR_41000310,OR_31009336,Credit Card,Yes
TR_41000311,OR_31001148,Debit Card,Yes
TR_41000312,OR_31009841,UPI,Yes
TR_41000313,OR_31003484,Credit Card,Yes
TR_41000314,OR_31000818,Wallet,Yes
TR_41000315,OR_31002151,COD,Yes
TR_41000316,OR_31002084,Debit Card,Yes
TR_41000317,OR_31009658,Credit Card,No
TR_41000318,OR_31004862,COD,Yes
TR_41000319,OR_31001588,COD,No
TR_41000320,OR_31006092,Credit Card,No
TR_41000321,OR_31008228,Credit Card,No
TR_41000322,OR_31001985,Credit Card,No
TR_41000323,OR_31002063,COD,No
TR_41000324,OR_31005837,UPI,No
TR_41000325,OR_31006331,Debit Card,Yes
TR_41000326,OR_31000416,Wallet,No
TR_41000327,OR_31004438,Wallet,Yes
TR_41000328,OR_31000565,UPI,Yes
TR_41000329,OR_31006980,COD,No
TR_41000330,OR_31005943,COD,Yes
TR_41000331,OR_31007489,COD,No
TR_41000332,OR_31000150,Wallet,No
TR_41000333,OR_31004228,UPI,No
TR_41000334,OR_31004335,Wallet,No
TR_41000335,OR_31006152,Wallet,Yes
TR_41000336,OR_31005405,UPI,No
TR_41000337,OR_31008616,Credit Card,No
TR_41000338,OR_31007484,Wallet,Yes
TR_41000339,OR_31007465,Wallet,Yes
TR_41000340,OR_31009885,Wallet,No
TR_41000341,OR_31003066,Debit Card,No
TR_41000342,OR_31001902,Debit Card,Yes
TR_41000343,OR_31002405,Credit Card,No
TR_41000344,OR_31006419,Wallet,Yes
TR_41000345,OR_31005109,Credit Card,Yes
TR_41000346,OR_31007780,UPI,No
TR_41000347,OR_31003755,Debit Card,Yes
TR_41000348,OR_31008094,Wallet,No
TR_41000349,OR_31008002,UPI,Yes
TR_41000350,OR_31005947,Debit Card,No
TR_41000351,OR_31004915,COD,Yes
TR_41000352,OR_31004283,COD,No
TR_41000353,OR_31006689,COD,No
TR_41000354,OR_31001626,Credit Card,No
TR_41000355,OR_31001816,COD,No
TR_41000356,OR_31005780,UPI,Yes
TR_41000357,OR_31004044,Credit Card,No
TR_41000358,OR_31008212,UPI,Yes
TR_41000359,OR_31006228,Debit Card,No
TR_41000360,OR_31005153,Debit Card,Yes
TR_41000361,OR_31004950,COD,No
TR_41000362,OR_31005898,Credit Card,No
TR_41000363,OR_31004227,COD,Yes
TR_41000364,OR_31006946,Credit Card,No
TR_41000365,OR_31006254,COD,No
TR_41000366,OR_31001711,UPI,Yes
TR_41000367,OR_31000158,Wallet,No
TR_41000368,OR_31000345,Credit Card,No
TR_41000369,OR_31004712,Wallet,No
TR_41000370,OR_31001051,UPI,No
TR_41000371,OR_31003804,Debit Card,No
TR_41000372,OR_31009947,COD,Yes
TR_41000373,OR_31007451,Wallet,Yes
TR_41000374,OR_31005556,COD,Yes
TR_41000375,OR_31007004,Credit Card,Yes
TR_41000376,OR_31009235,COD,No
TR_41000377,OR_31004813,UPI,No
TR_41000378,OR_31001437,UPI,Yes
TR_41000379,OR_31003113,UPI,Yes
TR_41000380,OR_31009238,Wallet,No
TR_41000381,OR_31005138,Debit Card,No
TR_41000382,OR_31006081,Credit Card,No
TR_41000383,OR_31002124,COD,Yes
TR_41000384,OR_31005047,Credit Card,No
TR_41000385,OR_31003600,Credit Card,Yes
TR_41000386,OR_31004824,Wallet,No
TR_41000387,OR_31006488,Debit Card,No
TR_41000388,OR_31003168,Debit Card,No
TR_41000389,OR_31000959,UPI,Yes
TR_41000390,OR_31004240,Wallet,No
TR_41000391,OR_31005096,COD,Yes
TR_41000392,OR_31001342,Wallet,Yes
TR_41000393,OR_31009828,COD,No
TR_41000394,OR_31004410,Debit Card,No
TR_41000395,OR_31009682,Wallet,No
TR_41000396,OR_31009956,Debit Card,No
TR_41000397,OR_31008809,Credit Card,No
TR_41000398,OR_31005075,Debit Card,No
TR_41000399,OR_31006007,UPI,No
TR_41000400,OR_31003414,UPI,No
TR_41000401,OR_31009168,UPI,Yes
TR_41000402,OR_31002551,Debit Card,No
TR_41000403,OR_31006026,UPI,Yes
TR_41000404,OR_31002205,UPI,No
TR_41000405,OR_31004625,UPI,No
TR_41000406,OR_31003759,Debit Card,No
TR_41000407,OR_31002136,UPI,No
TR_41000408,OR_31009260,Credit Card,No
TR_41000409,OR_31008233,Credit Card,No
TR_41000410,OR_31002266,Credit Card,No
TR_41000411,OR_31004205,COD,Yes
TR_41000412,OR_31002489,Credit Card,Yes
TR_41000413,OR_31008301,UPI,No
TR_41000414,OR_31005224,Credit Card,No
TR_41000415,OR_31009532,COD,Yes
TR_41000416,OR_31004967,Credit Card,No
TR_41000417,OR_31003348,COD,Yes
TR_41000418,OR_31005186,UPI,Yes
TR_41000419,OR_31006257,Debit Card,Yes
TR_41000420,OR_31006007,Credit Card,No
TR_41000421,OR_31005738,UPI,No
TR_41000422,OR_31007829,COD,Yes
TR_41000423,OR_31000579,Wallet,No
TR_41000424,OR_31002012,Debit Card,Yes
TR_41000425,OR_31005089,UPI,Yes
TR_41000426,OR_31002509,UPI,No
TR_41000427,OR_31005976,UPI,Yes
TR_41000428,OR_31005010,Credit Card,No
TR_41000429,OR_31005860,UPI,No
TR_41000430,OR_31002699,UPI,No
TR_41000431,OR_31001711,UPI,No
TR_41000432,OR_31008751,COD,No
TR_41000433,OR_31003962,Wallet,Yes
TR_41000434,OR_31003570,Wallet,No
TR_41000435,OR_31001807,Wallet,Yes
TR_41000436,OR_31000853,Wallet,No
TR_41000437,OR_31003996,COD,Yes
TR_41000438,OR_31002314,Debit Card,No
TR_41000439,OR_31008776,COD,No
TR_41000440,OR_31002545,UPI,Yes
TR_41000441,OR_31008366,Debit Card,Yes
TR_41000442,OR_31008792,Wallet,Yes
TR_41000443,OR_31004240,Wallet,No
TR_41000444,OR_31002885,UPI,No
TR_41000445,OR_31006257,Debit Card,No
TR_41000446,OR_31006982,COD,Yes
TR_41000447,OR_31002915,Credit Card,No
TR_41000448,OR_31005380,UPI,Yes
TR_41000449,OR_31000701,UPI,Yes
TR_41000450,OR_31000455,UPI,Yes
TR_41000451,OR_31004970,Debit Card,No
TR_41000452,OR_31007319,Credit Card,Yes
TR_41000453,OR_31007194,Wallet,No
TR_41000454,OR_31005218,UPI,Yes
TR_41000455,OR_31006441,Wallet,No
TR_41000456,OR_31006220,Wallet,Yes
TR_41000457,OR_31000023,COD,No
TR_41000458,OR_31004636,Credit Card,Yes
TR_41000459,OR_31002837,Wallet,No
TR_41000460,OR_31001238,Debit Card,Yes
TR_41000461,OR_31004839,Credit Card,No
TR_41000462,OR_31002439,UPI,No
TR_41000463,OR_31005601,Debit Card,No
TR_41000464,OR_31005116,COD,No
TR_41000465,OR_31003629,Debit Card,No
TR_41000466,OR_31006432,COD,Yes
TR_41000467,OR_31001847,COD,Yes
TR_41000468,OR_31002601,Wallet,No
TR_41000469,OR_31006223,Wallet,No
TR_41000470,OR_31003969,COD,No
TR_41000471,OR_31007328,Debit Card,No
TR_41000472,OR_31000012,Wallet,No
TR_41000473,OR_31001266,Wallet,Yes
TR_41000474,OR_31006938,Credit Card,No
TR_41000475,OR_31006009,Credit Card,No
TR_41000476,OR_31008887,Credit Card,Yes
TR_41000477,OR_31005414,Debit Card,Yes
TR_41000478,OR_31008535,COD,No
TR_41000479,OR_31008480,UPI,No
TR_41000480,OR_31004740,Wallet,No
TR_41000481,OR_31008950,COD,Yes
TR_41000482,OR_31003605,Debit Card,Yes
TR_41000483,OR_31003253,Debit Card,Yes
TR_41000484,OR_31003080,Credit Card,Yes
TR_41000485,OR_31009515,Wallet,No
TR_41000486,OR_31008217,COD,No
TR_41000487,OR_31007769,UPI,No
TR_41000488,OR_31003036,Debit Card,No
TR_41000489,OR_31001941,COD,Yes
TR_41000490,OR_31002194,Wallet,Yes
TR_41000491,OR_31009706,Credit Card,Yes
TR_41000492,OR_31007605,Debit Card,Yes
TR_41000493,OR_31007242,UPI,No
TR_41000494,OR_31006330,Credit Card,No
TR_41000495,OR_31007895,Credit Card,Yes
TR_41000496,OR_31005695,Credit Card,No
TR_41000497,OR_31003038,Debit Card,Yes
TR_41000498,OR_31001487,UPI,Yes
TR_41000499,OR_31005410,UPI,Yes
TR_41000500,OR_31002239,Debit Card,No
TR_41000501,OR_31005015,Debit Card,Yes
TR_41000502,OR_31005739,COD,No
TR_41000503,OR_31000524,Credit Card,Yes
TR_41000504,OR_31002975,Debit Card,Yes
TR_41000505,OR_31004920,Credit Card,Yes
TR_41000506,OR_31007502,Credit Card,Yes
TR_41000507,OR_31000595,COD,Yes
TR_41000508,OR_31004371,Credit Card,No
TR_41000509,OR_31003840,Wallet,Yes
TR_41000510,OR_31009943,COD,No
TR_41000511,OR_31001360,Credit Card,Yes
TR_41000512,OR_31004833,UPI,No
TR_41000513,OR_31008098,Credit Card,Yes
TR_41000514,OR_31004692,Debit Card,Yes
TR_41000515,OR_31001546,UPI,Yes
TR_41000516,OR_31008506,UPI,Yes
TR_41000517,OR_31004522,Wallet,No
TR_41000518,OR_31009250,Wallet,Yes
TR_41000519,OR_31006037,Credit Card,Yes
TR_41000520,OR_31003037,Wallet,No
TR_41000521,OR_31003488,Wallet,Yes
TR_41000522,OR_31001408,COD,Yes
TR_41000523,OR_31002556,Wallet,Yes
TR_41000524,OR_31001323,Credit Card,Yes
TR_41000525,OR_31008306,Debit Card,Yes
TR_41000526,OR_31002592,Credit Card,Yes
TR_41000527,OR_31003329,COD,No
TR_41000528,OR_31004210,Debit Card,Yes
TR_41000529,OR_31007028,COD,No
TR_41000530,OR_31000941,Debit Card,Yes
TR_41000531,OR_31003097,UPI,No
TR_41000532,OR_31001756,UPI,No
TR_41000533,OR_31004218,COD,No
TR_41000534,OR_31006131,UPI,Yes
TR_41000535,OR_31005125,COD,No
TR_41000536,OR_31000773,Credit Card,No
TR_41000537,OR_31006912,Credit Card,No
TR_41000538,OR_31006767,UPI,No
TR_41000539,OR_31001654,UPI,No
TR_41000540,OR_31000148,Debit Card,Yes
TR_41000541,OR_31007538,UPI,No
TR_41000542,OR_31000819,Credit Card,No
TR_41000543,OR_31008250,Debit Card,Yes
TR_41000544,OR_31000218,Wallet,No
TR_41000545,OR_31005767,Wallet,No
TR_41000546,OR_31006706,Debit Card,No
TR_41000547,OR_31004686,UPI,Yes
TR_41000548,OR_31002066,Credit Card,No
TR_41000549,OR_31006703,COD,Yes
TR_41000550,OR_31006597,Credit Card,No
TR_41000551,OR_31001782,Credit Card,No
TR_41000552,OR_31000500,UPI,No
TR_41000553,OR_31005839,COD,Yes
TR_41000554,OR_31009021,UPI,Yes
TR_41000555,OR_31004319,UPI,No
TR_41000556,OR_31004645,UPI,Yes
TR_41000557,OR_31001976,Credit Card,No
TR_41000558,OR_31000717,Credit Card,Yes
TR_41000559,OR_31005884,UPI,No
TR_41000560,OR_31006752,Wallet,No
TR_41000561,OR_31001494,COD,Yes
TR_41000562,OR_31007713,Credit Card,No
TR_41000563,OR_31009847,Debit Card,No
TR_41000564,OR_31005621,Debit Card,No
TR_41000565,OR_31005647,Credit Card,No
TR_41000566,OR_31001957,COD,No
TR_41000567,OR_31004240,UPI,Yes
TR_41000568,OR_31007746,Debit Card,No
TR_41000569,OR_31007669,Debit Card,No
TR_41000570,OR_31009651,UPI,No
TR_41000571,OR_31007610,Credit Card,Yes
TR_41000572,OR_31003991,Debit Card,Yes
TR_41000573,OR_31002229,Wallet,Yes
TR_41000574,OR_31002212,Credit Card,No
TR_41000575,OR_31005452,Debit Card,Yes
TR_41000576,OR_31002974,UPI,Yes
TR_41000577,OR_31004533,Wallet,No
TR_41000578,OR_31001035,COD,Yes
TR_41000579,OR_31000521,Wallet,Yes
TR_41000580,OR_31007218,Debit Card,No
TR_41000581,OR_31007336,Debit Card,Yes
TR_41000582,OR_31006930,UPI,No
TR_41000583,OR_31001328,Debit Card,No
TR_41000584,OR_31003043,Debit Card,No
TR_41000585,OR_31003847,UPI,Yes
TR_41000586,OR_31002810,COD,Yes
TR_41000587,OR_31007708,Debit Card,No
TR_41000588,OR_31000568,Credit Card,No
TR_41000589,OR_31007587,Wallet,No
TR_41000590,OR_31005066,Credit Card,Yes
TR_41000591,OR_31006192,Wallet,Yes
TR_41000592,OR_31002444,Credit Card,Yes
TR_41000593,OR_31006281,Wallet,Yes
TR_41000594,OR_31000433,Debit Card,No
TR_41000595,OR_31003609,Wallet,No
TR_41000596,OR_31000484,COD,Yes
TR_41000597,OR_31003375,Wallet,Yes
TR_41000598,OR_31003562,Credit Card,Yes
TR_41000599,OR_31008756,Debit Card,Yes
TR_41000600,OR_31008444,Credit Card,Yes
TR_41000601,OR_31002576,Credit Card,Yes
TR_41000602,OR_31002413,Credit Card,No
TR_41000603,OR_31004959,COD,Yes
TR_41000604,OR_31008228,UPI,No
TR_41000605,OR_31002894,UPI,Yes
TR_41000606,OR_31005026,COD,No
TR_41000607,OR_31003033,UPI,Yes
TR_41000608,OR_31000009,UPI,No
TR_41000609,OR_31007649,UPI,Yes
TR_41000610,OR_31007580,Wallet,No
TR_41000611,OR_31001578,Credit Card,Yes
TR_41000612,OR_31008078,Credit Card,No
TR_41000613,OR_31000569,COD,No
TR_41000614,OR_31003180,Debit Card,No
TR_41000615,OR_31006868,Credit Card,No
TR_41000616,OR_31006028,COD,Yes
TR_41000617,OR_31008956,UPI,Yes
TR_41000618,OR_31009587,Wallet,No
TR_41000619,OR_31001782,COD,Yes
TR_41000620,OR_31008962,COD,Yes
TR_41000621,OR_31004994,COD,No
TR_41000622,OR_31005274,Wallet,Yes
TR_41000623,OR_31004933,Credit Card,No
TR_41000624,OR_31002029,Credit Card,No
TR_41000625,OR_31005450,UPI,No
TR_41000626,OR_31005975,Credit Card,No
TR_41000627,OR_31008653,Credit Card,Yes
TR_41000628,OR_31003322,UPI,Yes
TR_41000629,OR_31001213,COD,No
TR_41000630,OR_31008036,Debit Card,Yes
TR_41000631,OR_31009367,Debit Card,Yes
TR_41000632,OR_31007853,Debit Card,No
TR_41000633,OR_31009358,Debit Card,Yes
TR_41000634,OR_31001819,Credit Card,No
TR_41000635,OR_31000339,UPI,Yes
TR_41000636,OR_31004784,Debit Card,Yes
TR_41000637,OR_31008027,Wallet,Yes
TR_41000638,OR_31004242,UPI,Yes
TR_41000639,OR_31007158,Wallet,Yes
