Rating_ID,Order_ID,Product_Rating,Service_Rating
RT_101000067,OR_31008922,3,3
RT_101000068,OR_31006218,3,1
RT_101000069,OR_31001504,1,3
RT_101000070,OR_31005958,2,2
RT_101000071,OR_31001911,3,4
RT_101000072,OR_31001848,4,4
RT_101000073,OR_31006992,1,1
RT_101000074,OR_31000458,3,2
RT_101000075,OR_31001451,3,5
RT_101000076,OR_31001210,1,2
RT_101000077,OR_31009329,2,4
RT_101000078,OR_31005162,4,2
RT_101000079,OR_31001434,2,1
RT_101000080,OR_31000216,4,5
RT_101000081,OR_31006716,1,4
RT_101000082,OR_31005510,5,4
RT_101000083,OR_31003394,1,5
RT_101000084,OR_31008098,5,1
RT_101000085,OR_31006142,1,1
RT_101000086,OR_31006341,3,2
RT_101000087,OR_31009553,5,1
RT_101000088,OR_31001054,1,5
RT_101000089,OR_31000853,1,5
RT_101000090,OR_31007383,5,5
RT_101000091,OR_31001265,1,5
RT_101000092,OR_31004971,2,1
RT_101000093,OR_31000096,4,5
RT_101000094,OR_31005980,5,2
RT_101000095,OR_31008865,2,1
RT_101000096,OR_31008005,5,1
RT_101000097,OR_31003536,1,1
RT_101000098,OR_31002235,2,2
RT_101000099,OR_31006017,1,3
RT_101000100,OR_31006129,1,4
RT_101000101,OR_31002560,2,3
RT_101000102,OR_31005380,4,2
RT_101000103,OR_31006496,2,3
RT_101000104,OR_31004427,1,1
RT_101000105,OR_31009551,1,4
RT_101000106,OR_31004409,2,4
RT_101000107,OR_31002956,2,5
RT_101000108,OR_31005514,4,5
RT_101000109,OR_31003247,1,5
RT_101000110,OR_31001249,2,2
RT_101000111,OR_31004141,3,5
RT_101000112,OR_31006293,4,5
RT_101000113,OR_31000074,1,5
RT_101000114,OR_31000692,5,3
RT_101000115,OR_31009293,2,3
RT_101000116,OR_31003573,5,1
RT_101000117,OR_31000874,5,5
RT_101000118,OR_31006990,2,3
RT_101000119,OR_31008607,5,1
RT_101000120,OR_31007784,3,5
RT_101000121,OR_31002424,3,3
RT_101000122,OR_31003464,2,2
RT_101000123,OR_31008699,5,1
RT_101000124,OR_31001896,4,5
RT_101000125,OR_31004242,4,1
RT_101000126,OR_31005841,2,3
RT_101000127,OR_31002685,5,5
RT_101000128,OR_31008872,3,4
RT_101000129,OR_31002780,5,2
RT_101000130,OR_31004898,2,5
RT_101000131,OR_31005992,4,1
RT_101000132,OR_31006448,4,4
RT_101000133,OR_31000468,1,2
RT_101000134,OR_31003414,3,5
RT_101000135,OR_31009468,3,2
RT_101000136,OR_31005268,5,2
RT_101000137,OR_31001092,4,5
RT_101000138,OR_31008095,4,5
RT_101000139,OR_31001161,1,5
RT_101000140,OR_31003970,5,1
RT_101000141,OR_31006898,3,2
RT_101000142,OR_31008485,1,3
RT_101000143,OR_31009989,2,3
RT_101000144,OR_31002303,1,1
RT_101000145,OR_31006078,4,3
RT_101000146,OR_31004409,5,5
RT_101000147,OR_31001643,3,4
RT_101000148,OR_31004861,5,5
RT_101000149,OR_31004823,1,2
RT_101000150,OR_31009671,3,5
RT_101000151,OR_31003453,1,1
RT_101000152,OR_31007711,4,3
RT_101000153,OR_31006159,1,5
RT_101000154,OR_31006080,1,5
RT_101000155,OR_31000582,1,4
RT_101000156,OR_31009611,2,4
RT_101000157,OR_31003411,3,2
RT_101000158,OR_31008981,3,4
RT_101000159,OR_31006777,5,2
RT_101000160,OR_31009633,4,2
RT_101000161,OR_31006599,4,3
RT_101000162,OR_31002386,1,3
RT_101000163,OR_31006342,1,1
RT_101000164,OR_31003545,1,4
RT_101000165,OR_31000037,3,3
RT_101000166,OR_31007415,5,3
RT_101000167,OR_31000788,4,1
RT_101000168,OR_31005608,4,4
RT_101000169,OR_31003115,4,2
RT_101000170,OR_31000971,3,4
RT_101000171,OR_31004207,5,2
RT_101000172,OR_31004911,4,4
RT_101000173,OR_31007867,4,1
RT_101000174,OR_31003774,2,5
RT_101000175,OR_31009489,3,4
RT_101000176,OR_31005050,3,1
RT_101000177,OR_31000578,5,1
RT_101000178,OR_31006406,5,1
RT_101000179,OR_31009857,2,2
RT_101000180,OR_31004081,3,2
RT_101000181,OR_31009628,5,2
RT_101000182,OR_31005895,2,3
RT_101000183,OR_31003504,4,4
RT_101000184,OR_31005614,4,4
RT_101000185,OR_31005253,3,3
RT_101000186,OR_31009000,4,1
RT_101000187,OR_31009038,2,3
RT_101000188,OR_31003065,1,3
RT_101000189,OR_31001002,2,1
RT_101000190,OR_31002315,3,4
RT_101000191,OR_31001535,3,3
RT_101000192,OR_31002547,2,2
RT_101000193,OR_31001932,3,4
RT_101000194,OR_31000442,4,4
RT_101000195,OR_31003044,2,2
RT_101000196,OR_31004602,5,1
RT_101000197,OR_31004883,4,1
RT_101000198,OR_31009226,5,2
RT_101000199,OR_31005740,1,5
RT_101000200,OR_31005049,4,5
RT_101000201,OR_31002939,3,3
RT_101000202,OR_31000258,1,4
RT_101000203,OR_31003309,5,2
RT_101000204,OR_31008638,4,3
RT_101000205,OR_31000199,3,4
RT_101000206,OR_31009205,3,3
RT_101000207,OR_31009726,2,3
RT_101000208,OR_31004692,2,2
RT_101000209,OR_31007086,4,2
RT_101000210,OR_31003282,1,2
RT_101000211,OR_31000060,4,4
RT_101000212,OR_31001048,5,3
RT_101000213,OR_31007859,2,4
RT_101000214,OR_31007170,3,3
RT_101000215,OR_31003994,4,1
RT_101000216,OR_31009874,5,2
RT_101000217,OR_31001651,4,5
RT_101000218,OR_31001055,5,4
RT_101000219,OR_31006003,4,5
RT_101000220,OR_31001618,1,5
RT_101000221,OR_31000897,1,1
RT_101000222,OR_31006513,5,4
RT_101000223,OR_31007132,2,1
RT_101000224,OR_31008524,2,5
RT_101000225,OR_31009174,5,3
RT_101000226,OR_31004621,4,4
RT_101000227,OR_31004520,2,1
RT_101000228,OR_31006364,4,4
RT_101000229,OR_31001877,1,2
RT_101000230,OR_31006594,2,2
RT_101000231,OR_31004475,5,2
RT_101000232,OR_31002573,3,3
RT_101000233,OR_31008451,4,1
RT_101000234,OR_31004669,5,2
RT_101000235,OR_31000937,2,2
RT_101000236,OR_31005728,1,1
RT_101000237,OR_31005038,2,3
RT_101000238,OR_31005977,4,2
RT_101000239,OR_31004418,3,3
RT_101000240,OR_31009779,5,3
RT_101000241,OR_31000643,3,2
RT_101000242,OR_31001887,5,1
RT_101000243,OR_31002405,4,3
RT_101000244,OR_31007032,4,5
RT_101000245,OR_31009504,3,5
RT_101000246,OR_31009472,3,5
RT_101000247,OR_31000558,2,4
RT_101000248,OR_31008118,3,5
RT_101000249,OR_31002152,5,2
RT_101000250,OR_31007190,3,5
RT_101000251,OR_31005615,5,1
RT_101000252,OR_31004981,2,4
RT_101000253,OR_31004369,4,1
RT_101000254,OR_31002095,3,4
RT_101000255,OR_31005909,1,4
RT_101000256,OR_31006912,1,4
RT_101000257,OR_31009011,2,4
RT_101000258,OR_31009973,3,1
RT_101000259,OR_31002807,4,2
RT_101000260,OR_31008904,4,5
RT_101000261,OR_31007567,4,4
RT_101000262,OR_31001291,1,2
RT_101000263,OR_31003595,4,4
RT_101000264,OR_31001746,5,3
RT_101000265,OR_31008763,3,5
RT_101000266,OR_31003213,3,4
RT_101000267,OR_31003550,5,4
RT_101000268,OR_31002255,5,2
RT_101000269,OR_31002274,4,2
RT_101000270,OR_31009917,2,4
RT_101000271,OR_31008296,4,5
RT_101000272,OR_31000134,1,4
RT_101000273,OR_31002287,4,4
RT_101000274,OR_31003267,3,2
RT_101000275,OR_31003500,3,2
RT_101000276,OR_31002788,1,5
RT_101000277,OR_31006066,5,4
RT_101000278,OR_31009639,4,3
RT_101000279,OR_31008439,4,4
RT_101000280,OR_31009612,3,2
RT_101000281,OR_31008219,4,1
RT_101000282,OR_31006449,3,2
RT_101000283,OR_31005595,4,3
RT_101000284,OR_31009609,2,5
RT_101000285,OR_31007218,3,4
RT_101000286,OR_31000907,1,3
RT_101000287,OR_31000496,2,3
RT_101000288,OR_31001047,4,2
RT_101000289,OR_31000646,1,1
RT_101000290,OR_31009186,2,2
RT_101000291,OR_31004292,2,4
RT_101000292,OR_31001385,4,3
RT_101000293,OR_31003238,2,5
RT_101000294,OR_31008321,5,2
RT_101000295,OR_31009175,3,5
RT_101000296,OR_31006736,1,2
RT_101000297,OR_31008576,5,3
RT_101000298,OR_31002507,3,4
RT_101000299,OR_31002103,4,1
RT_101000300,OR_31005085,2,3
RT_101000301,OR_31001473,1,3
RT_101000302,OR_31000611,3,4
RT_101000303,OR_31008356,5,1
RT_101000304,OR_31005112,4,5
RT_101000305,OR_31002146,5,2
RT_101000306,OR_31007382,4,4
RT_101000307,OR_31009732,2,3
RT_101000308,OR_31003503,5,3
RT_101000309,OR_31006240,3,3
RT_101000310,OR_31003249,3,2
RT_101000311,OR_31001842,1,1
RT_101000312,OR_31004292,1,3
RT_101000313,OR_31002039,3,5
RT_101000314,OR_31001815,4,3
RT_101000315,OR_31000718,2,2
RT_101000316,OR_31003758,3,2
RT_101000317,OR_31007420,4,2
RT_101000318,OR_31003672,4,3
RT_101000319,OR_31004997,4,3
RT_101000320,OR_31002710,1,1
RT_101000321,OR_31001685,5,1
RT_101000322,OR_31006930,1,4
RT_101000323,OR_31000669,2,3
RT_101000324,OR_31003693,4,3
RT_101000325,OR_31002509,1,4
RT_101000326,OR_31005225,2,1
RT_101000327,OR_31009406,5,3
RT_101000328,OR_31009781,2,2
RT_101000329,OR_31004786,4,5
RT_101000330,OR_31000152,1,3
RT_101000331,OR_31006672,2,4
RT_101000332,OR_31003988,1,1
RT_101000333,OR_31001328,1,5
RT_101000334,OR_31004421,1,1
RT_101000335,OR_31003189,5,1
RT_101000336,OR_31005905,4,2
RT_101000337,OR_31004616,1,1
RT_101000338,OR_31006539,1,2
RT_101000339,OR_31001024,1,4
RT_101000340,OR_31009011,4,3
RT_101000341,OR_31006389,3,3
RT_101000342,OR_31003800,3,4
RT_101000343,OR_31002345,2,3
RT_101000344,OR_31009497,5,1
RT_101000345,OR_31006006,4,3
RT_101000346,OR_31004385,3,4
RT_101000347,OR_31008619,5,1
RT_101000348,OR_31000988,2,1
RT_101000349,OR_31003624,5,1
RT_101000350,OR_31003740,4,2
RT_101000351,OR_31002997,1,3
RT_101000352,OR_31001040,2,1
RT_101000353,OR_31009176,2,1
RT_101000354,OR_31001146,2,5
RT_101000355,OR_31008708,4,2
RT_101000356,OR_31003553,1,2
RT_101000357,OR_31000962,2,5
RT_101000358,OR_31007032,3,3
RT_101000359,OR_31009209,5,5
RT_101000360,OR_31002804,5,3
RT_101000361,OR_31000208,3,2
RT_101000362,OR_31006657,4,5
RT_101000363,OR_31007657,3,2
RT_101000364,OR_31007369,2,3
RT_101000365,OR_31002217,2,1
RT_101000366,OR_31006320,2,5
RT_101000367,OR_31001021,5,3
RT_101000368,OR_31003221,5,3
RT_101000369,OR_31001760,5,4
RT_101000370,OR_31004926,2,2
RT_101000371,OR_31002531,5,2
RT_101000372,OR_31003760,3,4
RT_101000373,OR_31002159,5,3
RT_101000374,OR_31004276,5,5
RT_101000375,OR_31005598,4,3
RT_101000376,OR_31004811,4,5
RT_101000377,OR_31006766,1,3
RT_101000378,OR_31006585,3,2
RT_101000379,OR_31008555,5,2
RT_101000380,OR_31008178,5,1
RT_101000381,OR_31002721,2,1
RT_101000382,OR_31003843,3,4
RT_101000383,OR_31001358,4,5
RT_101000384,OR_31003714,4,1
RT_101000385,OR_31004402,5,2
RT_101000386,OR_31002504,2,5
RT_101000387,OR_31008403,5,3
RT_101000388,OR_31002635,1,4
RT_101000389,OR_31006197,2,5
RT_101000390,OR_31006941,4,4
RT_101000391,OR_31007093,2,2
RT_101000392,OR_31004727,3,3
RT_101000393,OR_31008535,4,1
RT_101000394,OR_31009455,4,1
RT_101000395,OR_31008109,4,1
RT_101000396,OR_31005664,2,5
RT_101000397,OR_31006216,3,5
RT_101000398,OR_31007875,2,5
RT_101000399,OR_31007674,4,2
RT_101000400,OR_31008146,2,3
RT_101000401,OR_31006070,5,5
RT_101000402,OR_31009856,3,5
RT_101000403,OR_31002445,2,5
RT_101000404,OR_31005064,1,3
RT_101000405,OR_31000993,5,2
RT_101000406,OR_31005823,1,2
RT_101000407,OR_31003957,2,3
RT_101000408,OR_31009520,3,4
RT_101000409,OR_31004277,3,5
RT_101000410,OR_31006083,5,5
RT_101000411,OR_31002813,1,1
RT_101000412,OR_31006947,5,2
RT_101000413,OR_31004835,4,5
RT_101000414,OR_31004313,3,1
RT_101000415,OR_31007262,1,3
RT_101000416,OR_31005302,5,3
RT_101000417,OR_31003452,3,5
RT_101000418,OR_31005136,4,5
RT_101000419,OR_31005426,4,2
RT_101000420,OR_31000806,3,1
RT_101000421,OR_31009459,4,1
RT_101000422,OR_31007701,1,3
RT_101000423,OR_31003641,3,3
RT_101000424,OR_31004922,3,2
RT_101000425,OR_31001703,5,3
RT_101000426,OR_31000228,1,2
RT_101000427,OR_31002916,4,1
RT_101000428,OR_31002330,1,3
RT_101000429,OR_31007242,2,5
RT_101000430,OR_31009768,1,3
RT_101000431,OR_31009483,4,5
RT_101000432,OR_31000410,3,1
RT_101000433,OR_31009083,1,4
RT_101000434,OR_31002998,1,3
RT_101000435,OR_31009471,2,5
RT_101000436,OR_31000181,3,2
RT_101000437,OR_31002376,2,4
RT_101000438,OR_31007657,5,3
RT_101000439,OR_31001854,1,1
RT_101000440,OR_31000482,5,3
RT_101000441,OR_31005183,4,2
RT_101000442,OR_31005018,5,4
RT_101000443,OR_31004875,1,2
RT_101000444,OR_31006892,4,2
RT_101000445,OR_31000515,3,5
RT_101000446,OR_31001349,1,2
RT_101000447,OR_31007646,2,1
RT_101000448,OR_31007038,5,2
RT_101000449,OR_31006197,4,4
RT_101000450,OR_31007857,3,3
RT_101000451,OR_31001083,2,5
RT_101000452,OR_31007317,1,3
RT_101000453,OR_31001716,4,1
RT_101000454,OR_31004805,1,2
RT_101000455,OR_31008790,1,1
RT_101000456,OR_31001226,5,3
RT_101000457,OR_31001066,4,3
RT_101000458,OR_31000419,3,1
RT_101000459,OR_31003997,5,4
RT_101000460,OR_31008352,5,4
RT_101000461,OR_31007236,4,5
RT_101000462,OR_31007026,5,5
RT_101000463,OR_31009373,2,1
RT_101000464,OR_31000640,1,4
RT_101000465,OR_31003978,1,3
RT_101000466,OR_31005465,4,3
RT_101000467,OR_31001597,5,2
RT_101000468,OR_31004169,4,3
RT_101000469,OR_31005276,5,2
RT_101000470,OR_31001723,1,2
RT_101000471,OR_31005328,1,5
RT_101000472,OR_31004793,1,1
RT_101000473,OR_31007300,4,5
RT_101000474,OR_31003756,5,1
RT_101000475,OR_31000906,1,2
RT_101000476,OR_31002354,2,2
RT_101000477,OR_31002687,4,3
RT_101000478,OR_31002045,4,3
RT_101000479,OR_31009199,3,2
RT_101000480,OR_31000623,5,2
RT_101000481,OR_31005255,1,1
RT_101000482,OR_31009165,1,1
RT_101000483,OR_31004332,5,5
RT_101000484,OR_31000181,2,2
RT_101000485,OR_31001713,4,3
RT_101000486,OR_31005413,5,4
RT_101000487,OR_31006519,5,2
RT_101000488,OR_31007467,2,2
RT_101000489,OR_31008520,1,4
RT_101000490,OR_31000917,5,3
RT_101000491,OR_31005891,3,4
RT_101000492,OR_31002064,2,2
RT_101000493,OR_31003499,4,1
RT_101000494,OR_31005605,5,2
RT_101000495,OR_31004879,3,3
RT_101000496,OR_31003140,4,1
RT_101000497,OR_31003327,4,1
RT_101000498,OR_31003839,1,4
RT_101000499,OR_31009590,1,4
RT_101000500,OR_31006780,2,3
RT_101000501,OR_31005436,5,5
RT_101000502,OR_31008540,1,5
RT_101000503,OR_31008394,3,2
RT_101000504,OR_31006640,1,5
RT_101000505,OR_31009686,2,3
RT_101000506,OR_31008663,3,4
RT_101000507,OR_31002396,3,4
RT_101000508,OR_31002461,2,1
RT_101000509,OR_31001846,4,3
RT_101000510,OR_31005509,4,5
RT_101000511,OR_31000512,5,4
RT_101000512,OR_31006003,5,5
RT_101000513,OR_31002188,4,1
RT_101000514,OR_31001548,5,2
RT_101000515,OR_31000984,2,1
RT_101000516,OR_31005326,2,5
RT_101000517,OR_31009898,3,2
RT_101000518,OR_31000073,1,3
RT_101000519,OR_31003594,5,1
RT_101000520,OR_31005734,1,5
RT_101000521,OR_31008069,2,2
RT_101000522,OR_31000720,4,4
RT_101000523,OR_31006963,1,4
RT_101000524,OR_31000407,3,1
RT_101000525,OR_31003929,1,5
RT_101000526,OR_31003750,5,2
RT_101000527,OR_31008561,3,5
RT_101000528,OR_31009868,5,4
RT_101000529,OR_31002062,4,5
RT_101000530,OR_31008905,2,3
RT_101000531,OR_31008580,4,4
RT_101000532,OR_31000084,3,4
RT_101000533,OR_31004078,3,2
RT_101000534,OR_31002141,5,5
RT_101000535,OR_31000257,4,1
RT_101000536,OR_31008638,3,3
RT_101000537,OR_31008691,4,5
RT_101000538,OR_31006752,4,4
RT_101000539,OR_31006630,5,3
RT_101000540,OR_31002262,2,5
RT_101000541,OR_31000324,2,4
RT_101000542,OR_31005908,3,5
RT_101000543,OR_31007529,5,5
RT_101000544,OR_31002305,3,1
RT_101000545,OR_31003092,4,1
RT_101000546,OR_31002664,3,3
RT_101000547,OR_31004257,1,1
RT_101000548,OR_31004232,4,4
RT_101000549,OR_31006093,2,2
RT_101000550,OR_31005648,5,1
RT_101000551,OR_31001427,2,4
RT_101000552,OR_31000905,3,5
RT_101000553,OR_31004924,2,1
RT_101000554,OR_31008945,4,2
RT_101000555,OR_31000574,5,4
RT_101000556,OR_31003514,3,2
RT_101000557,OR_31004781,2,5
RT_101000558,OR_31006970,2,5
RT_101000559,OR_31003403,3,2
RT_101000560,OR_31006991,2,4
RT_101000561,OR_31009797,3,1
RT_101000562,OR_31005530,3,5
RT_101000563,OR_31004837,2,1
RT_101000564,OR_31002885,5,4
RT_101000565,OR_31005147,4,4
RT_101000566,OR_31009573,3,4
RT_101000567,OR_31005732,5,2
RT_101000568,OR_31003171,1,5
RT_101000569,OR_31003698,2,3
RT_101000570,OR_31005207,5,1
RT_101000571,OR_31005001,5,1
RT_101000572,OR_31007658,4,2
RT_101000573,OR_31007098,3,4
RT_101000574,OR_31003553,5,2
RT_101000575,OR_31005584,1,5
RT_101000576,OR_31004019,2,1
RT_101000577,OR_31009566,4,1
RT_101000578,OR_31004445,2,4
RT_101000579,OR_31008789,4,1
RT_101000580,OR_31008570,3,3
RT_101000581,OR_31006842,5,5
RT_101000582,OR_31008696,1,4
RT_101000583,OR_31005301,3,2
RT_101000584,OR_31009614,3,5
RT_101000585,OR_31009276,2,4
RT_101000586,OR_31003674,4,5
RT_101000587,OR_31002919,3,5
RT_101000588,OR_31006954,3,2
RT_101000589,OR_31007739,3,2
RT_101000590,OR_31006633,4,5
RT_101000591,OR_31008083,4,1
RT_101000592,OR_31000808,1,5
RT_101000593,OR_31003167,3,4
RT_101000594,OR_31002816,4,5
RT_101000595,OR_31009432,1,5
RT_101000596,OR_31001679,4,2
RT_101000597,OR_31003377,2,4
RT_101000598,OR_31000056,1,3
RT_101000599,OR_31000530,5,5
RT_101000600,OR_31007107,1,2
RT_101000601,OR_31006747,1,4
RT_101000602,OR_31002724,1,5
RT_101000603,OR_31000272,4,5
RT_101000604,OR_31002246,2,4
RT_101000605,OR_31003205,4,3
RT_101000606,OR_31001627,3,3
RT_101000607,OR_31003011,1,2
RT_101000608,OR_31009596,2,5
RT_101000609,OR_31007338,2,2
RT_101000610,OR_31007952,1,3
RT_101000611,OR_31007443,3,3
RT_101000612,OR_31002953,1,5
RT_101000613,OR_31009146,4,1
RT_101000614,OR_31003472,4,2
RT_101000615,OR_31004182,1,1
RT_101000616,OR_31008176,5,4
RT_101000617,OR_31005474,5,2
RT_101000618,OR_31005084,4,4
RT_101000619,OR_31002991,5,1
RT_101000620,OR_31006063,2,4
RT_101000621,OR_31002756,4,3
RT_101000622,OR_31004702,3,1
RT_101000623,OR_31004644,5,2
RT_101000624,OR_31000215,2,5
RT_101000625,OR_31004342,2,3
RT_101000626,OR_31008116,4,5
RT_101000627,OR_31007757,3,5
RT_101000628,OR_31008099,5,4
RT_101000629,OR_31009031,2,2
RT_101000630,OR_31005492,4,1
RT_101000631,OR_31000716,1,5
RT_101000632,OR_31005322,2,5
RT_101000633,OR_31009036,5,1
RT_101000634,OR_31005859,5,2
RT_101000635,OR_31008951,4,4
RT_101000636,OR_31001486,2,1
RT_101000637,OR_31002120,1,5
RT_101000638,OR_31001179,4,3
RT_101000639,OR_31005821,1,5
RT_101000640,OR_31009556,2,1
RT_101000641,OR_31004044,4,3
RT_101000642,OR_31000247,3,5
RT_101000643,OR_31006917,3,2
RT_101000644,OR_31009079,1,1
RT_101000645,OR_31003862,3,1
RT_101000646,OR_31009247,3,4
RT_101000647,OR_31000262,5,5
RT_101000648,OR_31009904,3,3
RT_101000649,OR_31005008,4,3
RT_101000650,OR_31002383,5,1
RT_101000651,OR_31006789,1,3
RT_101000652,OR_31004811,2,2
RT_101000653,OR_31003035,2,3
RT_101000654,OR_31004647,3,2
RT_101000655,OR_31006969,5,2
RT_101000656,OR_31003470,3,2
RT_101000657,OR_31006828,3,1
RT_101000658,OR_31004916,1,3
RT_101000659,OR_31005470,3,5
RT_101000660,OR_31005318,5,3
RT_101000661,OR_31009352,5,2
RT_101000662,OR_31006203,4,1
RT_101000663,OR_31009710,1,3
RT_101000664,OR_31005188,3,4
RT_101000665,OR_31002566,2,2
RT_101000666,OR_31001651,4,2
RT_101000667,OR_31008049,2,4
RT_101000668,OR_31002067,3,5
RT_101000669,OR_31005539,1,1
RT_101000670,OR_31005966,5,1
RT_101000671,OR_31004549,3,1
RT_101000672,OR_31009891,5,1
RT_101000673,OR_31007947,3,4
RT_101000674,OR_31004016,2,5
RT_101000675,OR_31002147,2,4
RT_101000676,OR_31007311,4,2
RT_101000677,OR_31008087,4,2
RT_101000678,OR_31009862,4,4
RT_101000679,OR_31000879,3,1
RT_101000680,OR_31006866,4,2
RT_101000681,OR_31000761,5,5
RT_101000682,OR_31004483,3,4
RT_101000683,OR_31006611,4,4
RT_101000684,OR_31005919,5,5
RT_101000685,OR_31002635,4,4
RT_101000686,OR_31007140,3,1
RT_101000687,OR_31005969,2,2
RT_101000688,OR_31008693,1,4
RT_101000689,OR_31004821,2,3
RT_101000690,OR_31003332,1,4
RT_101000691,OR_31003232,4,3
RT_101000692,OR_31004078,4,3
RT_101000693,OR_31003271,4,2
RT_101000694,OR_31004930,4,5
RT_101000695,OR_31006743,4,2
RT_101000696,OR_31000640,5,1
RT_101000697,OR_31000314,4,3
RT_101000698,OR_31004016,1,4
RT_101000699,OR_31005025,2,2
RT_101000700,OR_31002295,3,3
RT_101000701,OR_31000457,1,3
RT_101000702,OR_31007857,5,5
RT_101000703,OR_31003026,5,3
RT_101000704,OR_31002362,2,5
RT_101000705,OR_31007302,2,5
RT_101000706,OR_31006203,2,4
RT_101000707,OR_31004263,5,3
RT_101000708,OR_31006189,3,2
RT_101000709,OR_31000462,5,2
RT_101000710,OR_31001956,3,3
RT_101000711,OR_31005945,5,1
RT_101000712,OR_31004567,4,5
RT_101000713,OR_31006023,5,4
RT_101000714,OR_31002513,1,2
RT_101000715,OR_31001254,2,1
RT_101000716,OR_31004150,3,1
RT_101000717,OR_31008212,3,2
RT_101000718,OR_31006594,5,1
RT_101000719,OR_31007571,5,1
RT_101000720,OR_31005602,4,4
RT_101000721,OR_31006292,2,5
RT_101000722,OR_31009839,3,4
RT_101000723,OR_31000664,1,3
RT_101000724,OR_31005956,4,5
RT_101000725,OR_31000304,4,5
RT_101000726,OR_31005352,2,4
RT_101000727,OR_31003220,4,1
RT_101000728,OR_31002143,3,5
RT_101000729,OR_31003725,2,1
RT_101000730,OR_31007858,5,2
RT_101000731,OR_31002557,3,5
RT_101000732,OR_31002095,2,5
RT_101000733,OR_31003939,2,4
RT_101000734,OR_31005272,5,5
RT_101000735,OR_31002318,1,1
RT_101000736,OR_31004345,1,1
RT_101000737,OR_31003482,3,5
RT_101000738,OR_31002168,3,5
RT_101000739,OR_31003778,5,5
RT_101000740,OR_31001142,3,5
RT_101000741,OR_31008698,3,3
RT_101000742,OR_31004559,3,2
RT_101000743,OR_31004751,4,1
RT_101000744,OR_31004429,3,2
RT_101000745,OR_31006851,1,2
RT_101000746,OR_31003558,4,1
RT_101000747,OR_31003112,1,2
RT_101000748,OR_31002496,3,5
RT_101000749,OR_31009292,5,4
RT_101000750,OR_31006910,4,2
RT_101000751,OR_31000905,2,4
RT_101000752,OR_31003672,3,1
RT_101000753,OR_31004918,2,5
RT_101000754,OR_31000823,5,2
RT_101000755,OR_31006814,5,3
RT_101000756,OR_31004120,2,1
RT_101000757,OR_31001619,2,1
RT_101000758,OR_31002203,5,2
RT_101000759,OR_31008081,4,1
RT_101000760,OR_31001859,2,2
RT_101000761,OR_31007355,2,1
RT_101000762,OR_31002483,4,3
RT_101000763,OR_31005217,1,5
RT_101000764,OR_31006841,2,2
RT_101000765,OR_31003543,3,2
RT_101000766,OR_31004198,4,4
RT_101000767,OR_31001522,5,1
RT_101000768,OR_31004548,2,4
RT_101000769,OR_31001169,4,5
RT_101000770,OR_31002972,3,3
RT_101000771,OR_31002535,2,1
RT_101000772,OR_31003135,4,4
RT_101000773,OR_31008571,2,5
RT_101000774,OR_31005491,2,5
