Product_ID,Product_Name,Category,Brand,Price
PD_21000075,Incidunt Milk,Snacks,Amul,867.23
PD_21000076,Facere Shampoo,Personal Care,Amul,116.32
PD_21000077,Exercitationem Biscuits,Snacks,Haldirams,127.99
PD_21000078,Ipsam Biscuits,Groceries,Amul,604.05
PD_21000079,Nostrum Biscuits,Home Care,Parle,25.36
PD_21000080,Alias Shampoo,Personal Care,Nestle,728.69
PD_21000081,Nemo Juice,Personal Care,Parle,947.58
PD_21000082,Hic Shampoo,Groceries,Haldirams,550.77
PD_21000083,Illo Soap,Snacks,Amul,747.16
PD_21000084,Reprehenderit Biscuits,Beverages,Amul,782.96
PD_21000085,Molestiae Shampoo,Dairy,Amul,652.94
PD_21000086,Mollitia Shampoo,Groceries,Haldirams,651.49
PD_21000087,Nesciunt Shampoo,Dairy,Nestle,392
PD_21000088,Consequuntur Shampoo,Personal Care,Dabur,747.37
PD_21000089,Quos Juice,Personal Care,Parle,386.6
PD_21000090,Nulla Juice,Groceries,Britannia,801.63
PD_21000091,Fuga Biscuits,Home Care,Nestle,466.61
PD_21000092,Sint Juice,Beverages,Dabur,323.47
PD_21000093,Saepe Shampoo,Beverages,Nestle,358.48
PD_21000094,Esse Shampoo,Beverages,Britannia,229.51
PD_21000095,Minima Biscuits,Home Care,Parle,354.79
PD_21000096,Unde Milk,Snacks,Parle,735.16
PD_21000097,Repellendus Biscuits,Personal Care,Dabur,314.94
PD_21000098,Mollitia Soap,Home Care,Amul,364.23
PD_21000099,Unde Juice,Snacks,Amul,986.78
PD_21000100,Soluta Soap,Beverages,Parle,495.58
PD_21000101,Totam Soap,Beverages,Britannia,892.58
PD_21000102,Odio Juice,Groceries,Britannia,904.03
PD_21000103,Aliquid Milk,Home Care,Nestle,713.87
PD_21000104,Nesciunt Milk,Groceries,Parle,372.6
PD_21000105,Consequatur Milk,Beverages,Nestle,222.04
PD_21000106,Blanditiis Biscuits,Dairy,Haldirams,558.28
PD_21000107,Voluptatibus Juice,Dairy,Dabur,79.55
PD_21000108,Enim Biscuits,Dairy,Amul,77.71
PD_21000109,Ipsam Milk,Dairy,Haldirams,736.22
PD_21000110,Provident Biscuits,Beverages,Britannia,582.07
PD_21000111,Fuga Biscuits,Snacks,Britannia,727.21
PD_21000112,Ex Juice,Home Care,Parle,540.13
PD_21000113,Doloribus Biscuits,Dairy,Parle,975.98
PD_21000114,Explicabo Soap,Beverages,Haldirams,368.01
PD_21000115,Qui Soap,Home Care,Nestle,734.04
PD_21000116,Quibusdam Biscuits,Snacks,Dabur,20.99
PD_21000117,Porro Milk,Dairy,Dabur,573.24
PD_21000118,Mollitia Biscuits,Dairy,Parle,231.21
PD_21000119,Repudiandae Soap,Personal Care,Britannia,357.11
PD_21000120,Repudiandae Milk,Home Care,Nestle,699.36
PD_21000121,Ipsa Biscuits,Personal Care,Haldirams,719.75
PD_21000122,Enim Biscuits,Beverages,Nestle,112.03
PD_21000123,Itaque Juice,Beverages,Parle,621.82
PD_21000124,Natus Soap,Beverages,Amul,461.19
PD_21000125,Repudiandae Biscuits,Personal Care,Britannia,485.18
PD_21000126,A Biscuits,Personal Care,Nestle,625.22
PD_21000127,Ducimus Biscuits,Groceries,Nestle,316.14
PD_21000128,Aliquid Milk,Home Care,Haldirams,302.97
PD_21000129,Nisi Biscuits,Home Care,Dabur,179.93
PD_21000130,Sit Biscuits,Personal Care,Nestle,324.28
PD_21000131,Quo Soap,Home Care,Britannia,52.74
PD_21000132,Eius Juice,Dairy,Britannia,74.91
PD_21000133,Qui Juice,Personal Care,Parle,661.53
PD_21000134,Unde Milk,Home Care,Dabur,974.49
PD_21000135,Voluptatibus Soap,Personal Care,Parle,875.4
PD_21000136,Quia Shampoo,Groceries,Britannia,313.38
PD_21000137,Dolore Soap,Dairy,Amul,280.23
PD_21000138,Quisquam Juice,Personal Care,Nestle,192.38
PD_21000139,Sapiente Milk,Groceries,Nestle,278.46
PD_21000140,Dolorum Milk,Beverages,Parle,235.76
PD_21000141,Fuga Milk,Beverages,Haldirams,734.63
PD_21000142,Harum Soap,Personal Care,Amul,343.88
PD_21000143,Quibusdam Soap,Home Care,Haldirams,549.73
PD_21000144,Assumenda Soap,Home Care,Haldirams,662.21
PD_21000145,Recusandae Soap,Snacks,Parle,930.49
PD_21000146,Recusandae Biscuits,Personal Care,Dabur,399.73
PD_21000147,Dolorum Biscuits,Groceries,Haldirams,978.84
PD_21000148,Repellendus Soap,Groceries,Parle,464.75
PD_21000149,Quas Shampoo,Groceries,Parle,673.86
PD_21000150,A Juice,Home Care,Britannia,851.41
PD_21000151,Omnis Biscuits,Home Care,Dabur,996.26
PD_21000152,Autem Soap,Beverages,Britannia,417.6
PD_21000153,Ipsam Juice,Snacks,Haldirams,337.52
PD_21000154,In Biscuits,Beverages,Britannia,783.76
PD_21000155,Autem Milk,Dairy,Parle,425.91
PD_21000156,Ad Shampoo,Dairy,Britannia,115.34
PD_21000157,Mollitia Shampoo,Home Care,Dabur,37.32
PD_21000158,Earum Biscuits,Home Care,Amul,170.78
PD_21000159,Tempore Milk,Beverages,Dabur,802.74
PD_21000160,Rem Juice,Home Care,Amul,75.37
PD_21000161,Modi Juice,Personal Care,Nestle,29.35
PD_21000162,Quisquam Soap,Dairy,Nestle,628.32
PD_21000163,Maxime Biscuits,Snacks,Haldirams,764.5
PD_21000164,Amet Milk,Groceries,Parle,185.58
PD_21000165,Neque Shampoo,Groceries,Amul,145.51
PD_21000166,Maxime Shampoo,Home Care,Dabur,742.94
PD_21000167,Consequuntur Soap,Dairy,Nestle,228.37
PD_21000168,Ducimus Shampoo,Personal Care,Amul,632.3
PD_21000169,Iusto Shampoo,Dairy,Nestle,931.44
PD_21000170,Ipsum Juice,Personal Care,Dabur,790.8
PD_21000171,Consectetur Soap,Dairy,Dabur,406.38
PD_21000172,Aut Milk,Personal Care,Nestle,16.3
PD_21000173,Recusandae Milk,Beverages,Amul,684.88
PD_21000174,Fugit Soap,Dairy,Haldirams,585.89
PD_21000175,Esse Soap,Groceries,Dabur,521.74
PD_21000176,Ratione Soap,Personal Care,Nestle,317.71
PD_21000177,Quibusdam Soap,Snacks,Britannia,239.36
PD_21000178,A Shampoo,Beverages,Amul,260.84
PD_21000179,Dignissimos Soap,Snacks,Amul,258.5
PD_21000180,Optio Milk,Home Care,Britannia,431.5
PD_21000181,Voluptates Juice,Beverages,Amul,835.3
PD_21000182,Ipsa Milk,Groceries,Nestle,608.75
PD_21000183,Reprehenderit Milk,Snacks,Britannia,909.01
PD_21000184,Repellat Soap,Dairy,Dabur,946.03
PD_21000185,Ex Milk,Beverages,Parle,97.21
PD_21000186,Impedit Shampoo,Home Care,Nestle,626.64
PD_21000187,Dicta Soap,Snacks,Amul,838.87
PD_21000188,Facere Shampoo,Beverages,Dabur,693.89
PD_21000189,Id Shampoo,Groceries,Haldirams,872.42
PD_21000190,Fuga Milk,Home Care,Dabur,820.97
PD_21000191,Aliquid Shampoo,Snacks,Nestle,149.46
PD_21000192,Voluptatum Milk,Groceries,Amul,104.68
PD_21000193,Quas Soap,Personal Care,Parle,824.77
PD_21000194,Illo Juice,Beverages,Haldirams,183.61
PD_21000195,Praesentium Biscuits,Dairy,Amul,324.71
PD_21000196,Voluptate Juice,Dairy,Amul,351.87
PD_21000197,Neque Juice,Groceries,Nestle,38.36
PD_21000198,Porro Shampoo,Snacks,Amul,678.59
PD_21000199,Natus Milk,Beverages,Britannia,106.54
PD_21000200,Quibusdam Shampoo,Home Care,Dabur,51.28
PD_21000201,Sit Juice,Dairy,Dabur,921.51
PD_21000202,Maiores Biscuits,Beverages,Britannia,581.67
PD_21000203,In Soap,Personal Care,Parle,320.42
PD_21000204,Hic Biscuits,Dairy,Nestle,916.37
PD_21000205,Sequi Shampoo,Home Care,Nestle,665.57
PD_21000206,Rerum Shampoo,Dairy,Nestle,561.31
PD_21000207,Minus Juice,Snacks,Nestle,417.03
PD_21000208,Eaque Soap,Personal Care,Nestle,671.91
PD_21000209,Officiis Soap,Groceries,Nestle,323.65
PD_21000210,Voluptas Biscuits,Dairy,Parle,846.99
PD_21000211,Rerum Juice,Groceries,Haldirams,639.47
PD_21000212,Laboriosam Soap,Snacks,Dabur,597.38
PD_21000213,Maxime Biscuits,Dairy,Haldirams,321.9
PD_21000214,Maiores Soap,Dairy,Parle,331.86
PD_21000215,Eligendi Juice,Groceries,Nestle,94.67
PD_21000216,Nobis Milk,Groceries,Parle,959.07
PD_21000217,Quae Milk,Snacks,Amul,516.76
PD_21000218,Accusamus Juice,Home Care,Britannia,808.16
PD_21000219,Animi Biscuits,Dairy,Dabur,475.98
PD_21000220,Odit Soap,Home Care,Parle,649.64
PD_21000221,Ut Biscuits,Groceries,Nestle,716.91
PD_21000222,Occaecati Soap,Beverages,Amul,725.49
PD_21000223,Similique Shampoo,Snacks,Amul,824.52
PD_21000224,Error Biscuits,Home Care,Britannia,160.44
PD_21000225,Dignissimos Shampoo,Personal Care,Haldirams,474.49
PD_21000226,Placeat Soap,Groceries,Haldirams,536.37
PD_21000227,Laboriosam Soap,Home Care,Parle,306.06
PD_21000228,Maiores Shampoo,Groceries,Haldirams,967.79
PD_21000229,Hic Shampoo,Beverages,Parle,800.51
PD_21000230,Vero Milk,Beverages,Amul,527.04
PD_21000231,Maxime Milk,Beverages,Amul,66.71
PD_21000232,Culpa Milk,Groceries,Parle,283.25
PD_21000233,Porro Soap,Snacks,Parle,946.36
PD_21000234,Possimus Shampoo,Home Care,Parle,14.07
PD_21000235,Natus Biscuits,Personal Care,Parle,439.21
PD_21000236,Delectus Shampoo,Beverages,Britannia,602.78
PD_21000237,Similique Biscuits,Snacks,Amul,809.56
PD_21000238,At Biscuits,Beverages,Dabur,959.33
PD_21000239,Distinctio Biscuits,Personal Care,Haldirams,151.74
PD_21000240,Atque Shampoo,Groceries,Haldirams,279.37
PD_21000241,Praesentium Shampoo,Snacks,Dabur,691.53
PD_21000242,Aperiam Milk,Beverages,Amul,698.25
PD_21000243,Saepe Milk,Home Care,Haldirams,339.53
PD_21000244,Ipsum Biscuits,Dairy,Nestle,100.49
PD_21000245,Qui Milk,Snacks,Parle,74
PD_21000246,Fuga Biscuits,Personal Care,Nestle,780.63
PD_21000247,Minus Milk,Dairy,Dabur,179.84
PD_21000248,Quibusdam Biscuits,Home Care,Amul,660.14
PD_21000249,Recusandae Shampoo,Home Care,Parle,178.37
PD_21000250,Atque Milk,Beverages,Nestle,546.58
PD_21000251,Culpa Milk,Home Care,Nestle,479.34
PD_21000252,Sint Soap,Groceries,Dabur,552.53
PD_21000253,Quidem Milk,Beverages,Parle,618.74
PD_21000254,Laboriosam Shampoo,Groceries,Britannia,363.13
PD_21000255,Cumque Biscuits,Dairy,Parle,918.4
PD_21000256,Nostrum Milk,Snacks,Nestle,542.27
PD_21000257,Iusto Biscuits,Personal Care,Amul,808.05
PD_21000258,Neque Soap,Home Care,Nestle,727.6
PD_21000259,Ullam Biscuits,Groceries,Britannia,183.3
PD_21000260,Dicta Juice,Groceries,Parle,466.4
PD_21000261,Ut Soap,Groceries,Nestle,123.03
PD_21000262,Dolore Biscuits,Beverages,Parle,967.9
PD_21000263,Neque Shampoo,Groceries,Nestle,949.65
PD_21000264,Ad Milk,Personal Care,Parle,205.43
PD_21000265,Eum Juice,Beverages,Nestle,919.51
PD_21000266,Sint Shampoo,Snacks,Britannia,641.39
PD_21000267,Dicta Shampoo,Personal Care,Parle,905.8
PD_21000268,Facilis Biscuits,Personal Care,Amul,11.1
PD_21000269,Debitis Shampoo,Beverages,Amul,159.6
PD_21000270,Repellendus Soap,Home Care,Amul,221.36
PD_21000271,Maxime Juice,Beverages,Haldirams,909.8
PD_21000272,Minima Biscuits,Personal Care,Amul,799.68
PD_21000273,Perferendis Soap,Personal Care,Dabur,966.01
PD_21000274,Earum Juice,Personal Care,Parle,96.62
PD_21000275,Quam Soap,Beverages,Nestle,735.53
PD_21000276,Rerum Milk,Dairy,Parle,107.2
PD_21000277,Numquam Biscuits,Beverages,Britannia,91.58
PD_21000278,Autem Juice,Groceries,Parle,214.25
PD_21000279,Quaerat Shampoo,Beverages,Parle,303.63
PD_21000280,Molestiae Shampoo,Beverages,Parle,635.81
PD_21000281,Provident Biscuits,Personal Care,Nestle,391.65
PD_21000282,Soluta Juice,Groceries,Parle,613.46
PD_21000283,Assumenda Milk,Snacks,Amul,135.59
PD_21000284,Sed Milk,Home Care,Britannia,544.68
PD_21000285,Earum Milk,Dairy,Dabur,116.67
PD_21000286,Totam Shampoo,Personal Care,Parle,736.08
PD_21000287,Totam Juice,Snacks,Haldirams,558.51
PD_21000288,Eligendi Soap,Beverages,Parle,476.4
PD_21000289,Delectus Shampoo,Groceries,Parle,11.75
PD_21000290,Corrupti Shampoo,Beverages,Parle,589.7
PD_21000291,Impedit Biscuits,Snacks,Parle,831.55
PD_21000292,Natus Shampoo,Home Care,Nestle,498.11
PD_21000293,Occaecati Juice,Snacks,Nestle,373.3
PD_21000294,Aspernatur Juice,Home Care,Amul,365.16
PD_21000295,Repellat Shampoo,Home Care,Amul,339.17
PD_21000296,Et Juice,Snacks,Nestle,970
PD_21000297,Assumenda Biscuits,Groceries,Parle,422.38
PD_21000298,Animi Biscuits,Groceries,Britannia,367.76
PD_21000299,Est Milk,Groceries,Nestle,907.23
PD_21000300,Voluptate Juice,Groceries,Parle,832.95
PD_21000301,Autem Milk,Beverages,Nestle,356.16
PD_21000302,Iste Milk,Beverages,Haldirams,964.23
PD_21000303,Odit Shampoo,Home Care,Nestle,402.07
PD_21000304,Vitae Biscuits,Dairy,Amul,93.19
PD_21000305,Porro Soap,Beverages,Parle,600.26
PD_21000306,Atque Shampoo,Personal Care,Parle,553.58
PD_21000307,Dolor Soap,Dairy,Haldirams,248.36
PD_21000308,Temporibus Juice,Personal Care,Amul,26.41
PD_21000309,Porro Biscuits,Groceries,Britannia,692.42
PD_21000310,Dolores Shampoo,Beverages,Parle,35.2
PD_21000311,Ipsum Soap,Dairy,Parle,808.02
PD_21000312,Harum Soap,Beverages,Nestle,397.15
PD_21000313,Vero Milk,Groceries,Parle,842.5
PD_21000314,Corrupti Juice,Beverages,Dabur,760.29
PD_21000315,Sunt Biscuits,Beverages,Amul,751.02
PD_21000316,Placeat Milk,Groceries,Britannia,580.59
PD_21000317,Ab Shampoo,Groceries,Parle,565.09
PD_21000318,Veniam Milk,Personal Care,Parle,481.06
PD_21000319,Id Soap,Groceries,Amul,996.29
PD_21000320,Voluptas Juice,Dairy,Britannia,693.62
PD_21000321,Pariatur Soap,Dairy,Haldirams,50
PD_21000322,Corporis Shampoo,Beverages,Haldirams,732.84
PD_21000323,Veritatis Juice,Snacks,Nestle,171.73
PD_21000324,Labore Juice,Groceries,Amul,495.42
PD_21000325,Velit Juice,Snacks,Amul,536.04
PD_21000326,Distinctio Biscuits,Dairy,Nestle,496.72
PD_21000327,Ullam Biscuits,Groceries,Parle,539.43
PD_21000328,Cupiditate Juice,Groceries,Haldirams,929.86
PD_21000329,Reprehenderit Shampoo,Home Care,Dabur,405.18
PD_21000330,Praesentium Milk,Snacks,Haldirams,288.61
PD_21000331,Quasi Biscuits,Dairy,Dabur,812.9
PD_21000332,Omnis Milk,Dairy,Parle,713.03
PD_21000333,Soluta Juice,Personal Care,Haldirams,419.64
PD_21000334,Itaque Juice,Home Care,Britannia,403.96
PD_21000335,Blanditiis Biscuits,Groceries,Amul,842.42
PD_21000336,Quod Milk,Beverages,Nestle,111.29
PD_21000337,Expedita Milk,Home Care,Haldirams,132.66
PD_21000338,Aspernatur Shampoo,Dairy,Amul,788.76
PD_21000339,Aliquid Juice,Snacks,Dabur,949.96
PD_21000340,Tempora Milk,Home Care,Amul,950.92
PD_21000341,Laudantium Juice,Snacks,Parle,686.94
PD_21000342,Ratione Milk,Beverages,Dabur,757.39
PD_21000343,Voluptatum Shampoo,Personal Care,Nestle,475.98
PD_21000344,Aliquam Juice,Snacks,Nestle,806.26
PD_21000345,Deserunt Biscuits,Snacks,Parle,325.65
PD_21000346,At Biscuits,Home Care,Amul,890.29
PD_21000347,Corrupti Soap,Beverages,Britannia,347.13
PD_21000348,Nam Biscuits,Snacks,Amul,919.66
PD_21000349,Pariatur Biscuits,Snacks,Amul,643.32
PD_21000350,At Juice,Dairy,Britannia,617.62
PD_21000351,Rerum Soap,Snacks,Nestle,571.06
PD_21000352,Reiciendis Soap,Beverages,Britannia,275.77
PD_21000353,Molestias Milk,Home Care,Britannia,536.46
PD_21000354,Quo Milk,Groceries,Nestle,540.27
PD_21000355,Similique Milk,Home Care,Parle,25.39
PD_21000356,Eius Shampoo,Personal Care,Amul,791.25
PD_21000357,Vitae Shampoo,Personal Care,Britannia,665.78
PD_21000358,Provident Biscuits,Dairy,Haldirams,636.97
PD_21000359,Sit Juice,Dairy,Britannia,741.87
PD_21000360,Quas Soap,Dairy,Parle,740.22
PD_21000361,Quis Milk,Beverages,Parle,622.68
PD_21000362,Illo Biscuits,Beverages,Amul,984.38
PD_21000363,Impedit Shampoo,Home Care,Parle,615.09
PD_21000364,Sunt Soap,Snacks,Amul,373.04
PD_21000365,Laborum Biscuits,Dairy,Amul,598.52
PD_21000366,Nisi Shampoo,Dairy,Dabur,112.65
PD_21000367,Fuga Shampoo,Dairy,Dabur,371.34
PD_21000368,Eum Juice,Snacks,Nestle,73.06
PD_21000369,Sit Biscuits,Dairy,Haldirams,619.62
PD_21000370,Atque Biscuits,Beverages,Parle,97.34
PD_21000371,Reprehenderit Shampoo,Beverages,Nestle,446.7
PD_21000372,Voluptas Biscuits,Beverages,Nestle,19.21
PD_21000373,Id Biscuits,Dairy,Britannia,865.9
PD_21000374,Ratione Soap,Personal Care,Haldirams,479.12
PD_21000375,Ipsa Milk,Snacks,Parle,275.09
PD_21000376,Inventore Shampoo,Beverages,Dabur,645.32
PD_21000377,Ab Juice,Beverages,Amul,755.48
PD_21000378,Ex Shampoo,Home Care,Haldirams,516.87
PD_21000379,Tenetur Biscuits,Dairy,Britannia,191.06
PD_21000380,Totam Biscuits,Personal Care,Nestle,682.19
PD_21000381,Corporis Milk,Snacks,Parle,924.82
PD_21000382,Provident Shampoo,Snacks,Amul,801.52
PD_21000383,Voluptatibus Milk,Home Care,Dabur,611.75
PD_21000384,Sint Biscuits,Personal Care,Amul,500.92
PD_21000385,Asperiores Biscuits,Dairy,Haldirams,148.96
PD_21000386,Iste Biscuits,Beverages,Nestle,432.73
PD_21000387,Aperiam Milk,Home Care,Nestle,111.21
PD_21000388,Aliquam Juice,Personal Care,Dabur,818.69
PD_21000389,Earum Shampoo,Groceries,Dabur,56.72
PD_21000390,Quidem Juice,Personal Care,Haldirams,975.16
PD_21000391,Excepturi Milk,Groceries,Dabur,131.99
PD_21000392,Eaque Juice,Dairy,Dabur,204.67
PD_21000393,Nulla Biscuits,Personal Care,Haldirams,385.84
PD_21000394,Maxime Biscuits,Personal Care,Haldirams,124.69
PD_21000395,Ea Milk,Dairy,Haldirams,670.44
PD_21000396,Quo Biscuits,Personal Care,Nestle,652.44
PD_21000397,Consectetur Milk,Groceries,Britannia,315.17
PD_21000398,Amet Juice,Groceries,Amul,497.83
PD_21000399,A Biscuits,Beverages,Amul,91.98
PD_21000400,Eum Milk,Groceries,Nestle,39.37
PD_21000401,Non Soap,Dairy,Dabur,119.72
PD_21000402,Iusto Biscuits,Snacks,Nestle,506.75
PD_21000403,Ea Biscuits,Beverages,Dabur,533.69
PD_21000404,Voluptas Shampoo,Beverages,Amul,328.41
PD_21000405,Nulla Milk,Beverages,Dabur,285.68
PD_21000406,Animi Shampoo,Snacks,Haldirams,510.31
PD_21000407,Iure Biscuits,Dairy,Haldirams,273.53
PD_21000408,Quae Milk,Home Care,Britannia,441.99
PD_21000409,Impedit Juice,Personal Care,Parle,709.58
PD_21000410,Quibusdam Shampoo,Home Care,Amul,82.68
PD_21000411,Incidunt Milk,Beverages,Parle,536.46
PD_21000412,Reprehenderit Soap,Groceries,Britannia,879.04
PD_21000413,Vero Soap,Dairy,Dabur,665.4
PD_21000414,Inventore Soap,Groceries,Parle,51.56
PD_21000415,Doloremque Milk,Groceries,Dabur,744.84
PD_21000416,Suscipit Soap,Dairy,Nestle,355.18
PD_21000417,Labore Shampoo,Snacks,Britannia,652.86
PD_21000418,Quaerat Biscuits,Snacks,Britannia,731.29
PD_21000419,Mollitia Juice,Dairy,Amul,953.62
PD_21000420,Tempore Milk,Home Care,Amul,448.82
PD_21000421,Veritatis Soap,Snacks,Amul,782.36
PD_21000422,Aspernatur Milk,Beverages,Britannia,616.15
PD_21000423,Occaecati Shampoo,Personal Care,Amul,271.6
PD_21000424,Expedita Shampoo,Beverages,Dabur,133.82
PD_21000425,Impedit Juice,Groceries,Nestle,940.66
PD_21000426,Sit Shampoo,Beverages,Haldirams,916.22
PD_21000427,Eaque Shampoo,Dairy,Haldirams,509.34
PD_21000428,Aliquam Juice,Home Care,Britannia,680.19
PD_21000429,Cumque Soap,Dairy,Dabur,838.99
PD_21000430,Quas Shampoo,Home Care,Britannia,884.13
PD_21000431,Eveniet Milk,Personal Care,Nestle,294.77
PD_21000432,Autem Milk,Personal Care,Nestle,964.66
PD_21000433,Architecto Milk,Snacks,Amul,783.06
PD_21000434,Sunt Biscuits,Home Care,Amul,868.03
PD_21000435,Dolorem Soap,Beverages,Dabur,176.62
PD_21000436,Impedit Juice,Home Care,Haldirams,659.05
PD_21000437,Ipsum Milk,Snacks,Britannia,321.38
PD_21000438,Voluptatum Milk,Home Care,Parle,407.28
PD_21000439,Consectetur Juice,Personal Care,Amul,696.29
PD_21000440,Corporis Shampoo,Dairy,Nestle,285.24
PD_21000441,Laudantium Soap,Personal Care,Amul,523.58
PD_21000442,Exercitationem Milk,Groceries,Parle,695.24
PD_21000443,Cumque Soap,Home Care,Britannia,275.72
PD_21000444,Aperiam Juice,Beverages,Haldirams,710.55
PD_21000445,Eligendi Milk,Dairy,Amul,311.22
PD_21000446,Autem Shampoo,Home Care,Britannia,567.59
PD_21000447,Ipsa Milk,Snacks,Britannia,664.63
PD_21000448,Illo Shampoo,Dairy,Dabur,108.87
PD_21000449,Molestiae Soap,Personal Care,Dabur,132.55
PD_21000450,Veritatis Biscuits,Beverages,Britannia,632.48
PD_21000451,Labore Milk,Snacks,Parle,37.6
PD_21000452,Aut Juice,Home Care,Dabur,271.16
PD_21000453,Sapiente Biscuits,Groceries,Dabur,49.59
PD_21000454,Enim Shampoo,Home Care,Dabur,404.57
PD_21000455,Nostrum Biscuits,Dairy,Nestle,712.77
PD_21000456,Sapiente Milk,Snacks,Nestle,628.75
PD_21000457,Suscipit Milk,Home Care,Dabur,924.8
PD_21000458,Ab Shampoo,Personal Care,Amul,415.06
PD_21000459,Fugiat Shampoo,Home Care,Haldirams,698.52
PD_21000460,Cupiditate Soap,Snacks,Amul,588.44
PD_21000461,Officiis Milk,Snacks,Parle,818.05
PD_21000462,Illum Shampoo,Home Care,Britannia,941.17
PD_21000463,Exercitationem Biscuits,Groceries,Parle,937.98
PD_21000464,Magnam Biscuits,Personal Care,Britannia,586.45
PD_21000465,Suscipit Milk,Snacks,Haldirams,239.87
PD_21000466,Natus Biscuits,Dairy,Dabur,901.02
PD_21000467,Hic Soap,Beverages,Haldirams,239.54
PD_21000468,Nesciunt Shampoo,Dairy,Britannia,922.46
