Order_ID,Customer_ID,Product_ID,Order_Date,Order_Time,Quantity,Coupon,Coupon_Discount,DP_ID
OR_31000051,CS_11008107,PD_21004620,2024-04-28,3:39:29,9,WELCOME10,15,DV_61000003
OR_31000052,CS_11004422,PD_21008162,2024-10-28,20:01:40,10,No Coupons,0,DV_61000001
OR_31000053,CS_11004835,PD_21003838,2024-04-22,4:37:21,1,WELCOME10,15,DV_61000004
OR_31000054,CS_11007106,PD_21006516,2025-02-09,12:10:13,6,No Coupons,0,DV_61000002
OR_31000055,CS_11004663,PD_21009618,2024-05-09,14:49:01,9,WELCOME10,15,DV_61000003
OR_31000056,CS_11005198,PD_21009570,2024-09-30,5:04:45,6,RALLY20,15,DV_61000001
OR_31000057,CS_11008203,PD_21009996,2024-06-21,9:38:08,2,No Coupons,0,DV_61000005
OR_31000058,CS_11006638,PD_21006774,2024-12-18,6:55:51,9,SUMMER15,15,DV_61000001
OR_31000059,CS_11002844,PD_21007160,2024-05-06,4:00:21,10,SUMMER15,15,DV_61000001
OR_31000060,CS_11005184,PD_21009537,2025-01-18,16:52:21,3,FESTIVE20,15,DV_61000002
OR_31000061,CS_11005132,PD_21000060,2024-10-20,10:07:04,6,FESTIVE20,20,DV_61000002
OR_31000062,CS_11003595,PD_21000406,2025-01-06,8:44:10,8,FESTIVE20,15,DV_61000005
OR_31000063,CS_11006065,PD_21005845,2024-03-29,17:22:38,8,No Coupons,0,DV_61000005
OR_31000064,CS_11001187,PD_21002188,2024-06-07,20:42:44,3,WELCOME10,15,DV_61000005
OR_31000065,CS_11003334,PD_21002947,2024-12-17,3:26:36,2,SUMMER15,10,DV_61000004
OR_31000066,CS_11005778,PD_21005020,2025-02-28,3:20:31,2,FESTIVE20,10,DV_61000004
OR_31000067,CS_11009943,PD_21006686,2025-01-17,18:35:00,10,No Coupons,0,DV_61000002
OR_31000068,CS_11003352,PD_21008924,2024-06-20,3:26:52,6,RALLY20,15,DV_61000002
OR_31000069,CS_11005434,PD_21004749,2024-11-17,3:53:55,10,No Coupons,0,DV_61000005
OR_31000070,CS_11001256,PD_21005091,2024-06-19,20:02:32,10,WELCOME10,20,DV_61000004
OR_31000071,CS_11009390,PD_21009652,2024-07-23,14:51:49,4,FESTIVE20,10,DV_61000003
OR_31000072,CS_11001228,PD_21000006,2024-10-30,14:14:54,7,FESTIVE20,15,DV_61000004
OR_31000073,CS_11004152,PD_21001308,2024-12-02,23:11:24,4,FESTIVE20,20,DV_61000002
OR_31000074,CS_11002658,PD_21001988,2024-09-11,1:36:24,6,WELCOME10,10,DV_61000004
OR_31000075,CS_11001859,PD_21009090,2025-02-28,7:38:12,5,SUMMER15,10,DV_61000002
OR_31000076,CS_11008915,PD_21002976,2024-07-17,12:07:35,4,WELCOME10,10,DV_61000005
OR_31000077,CS_11003913,PD_21009390,2024-10-04,13:15:49,9,No Coupons,0,DV_61000005
OR_31000078,CS_11005696,PD_21007362,2024-09-19,18:25:28,4,No Coupons,0,DV_61000005
OR_31000079,CS_11008762,PD_21001956,2024-03-22,1:02:30,2,RALLY20,10,DV_61000003
OR_31000080,CS_11003374,PD_21008829,2025-01-02,22:52:14,5,No Coupons,0,DV_61000003
OR_31000081,CS_11004800,PD_21005414,2024-07-24,5:14:51,4,SUMMER15,10,DV_61000002
OR_31000082,CS_11002853,PD_21006512,2024-08-17,18:53:26,5,WELCOME10,15,DV_61000001
OR_31000083,CS_11001649,PD_21006227,2024-05-24,12:21:11,10,No Coupons,0,DV_61000003
OR_31000084,CS_11004443,PD_21009877,2025-01-29,22:29:28,9,No Coupons,0,DV_61000002
OR_31000085,CS_11009661,PD_21000006,2024-08-14,3:14:54,1,No Coupons,0,DV_61000004
OR_31000086,CS_11003487,PD_21009406,2025-01-10,18:44:29,5,No Coupons,0,DV_61000005
OR_31000087,CS_11001857,PD_21006949,2024-06-04,17:48:47,9,WELCOME10,15,DV_61000005
OR_31000088,CS_11008563,PD_21000908,2024-03-12,2:31:46,10,WELCOME10,15,DV_61000005
OR_31000089,CS_11001106,PD_21003144,2024-08-04,14:05:57,7,WELCOME10,20,DV_61000002
OR_31000090,CS_11009163,PD_21003087,2024-10-03,8:51:33,7,RALLY20,15,DV_61000005
OR_31000091,CS_11006239,PD_21003439,2024-05-19,13:23:36,1,RALLY20,10,DV_61000003
OR_31000092,CS_11009580,PD_21006803,2024-08-29,2:06:34,10,SUMMER15,15,DV_61000004
OR_31000093,CS_11003344,PD_21000610,2025-02-15,1:36:54,9,RALLY20,15,DV_61000005
OR_31000094,CS_11009436,PD_21004681,2024-12-27,4:43:10,4,No Coupons,0,DV_61000002
OR_31000095,CS_11006239,PD_21008997,2025-02-17,14:50:04,10,No Coupons,0,DV_61000004
OR_31000096,CS_11001013,PD_21002333,2024-05-22,0:33:17,6,SUMMER15,20,DV_61000005
OR_31000097,CS_11007166,PD_21000110,2024-09-28,15:14:00,4,FESTIVE20,15,DV_61000001
OR_31000098,CS_11000748,PD_21000518,2025-02-04,3:56:48,2,RALLY20,20,DV_61000005
OR_31000099,CS_11001498,PD_21004697,2024-05-16,15:09:54,7,WELCOME10,20,DV_61000003
OR_31000100,CS_11004542,PD_21009957,2024-11-08,8:44:08,10,RALLY20,10,DV_61000004
OR_31000101,CS_11004395,PD_21003100,2024-06-17,13:35:05,7,No Coupons,0,DV_61000003
OR_31000102,CS_11003323,PD_21002101,2024-08-06,11:16:05,7,SUMMER15,15,DV_61000001
OR_31000103,CS_11001587,PD_21005893,2024-08-22,2:23:33,8,WELCOME10,10,DV_61000001
OR_31000104,CS_11002708,PD_21008899,2025-02-07,23:43:47,10,WELCOME10,20,DV_61000003
OR_31000105,CS_11008634,PD_21008093,2024-05-07,6:19:47,7,No Coupons,0,DV_61000004
OR_31000106,CS_11001393,PD_21002028,2025-01-11,5:55:58,4,FESTIVE20,20,DV_61000001
OR_31000107,CS_11002849,PD_21004372,2024-11-25,1:10:24,8,SUMMER15,15,DV_61000001
OR_31000108,CS_11007928,PD_21004251,2024-05-27,22:58:28,8,WELCOME10,10,DV_61000005
OR_31000109,CS_11006012,PD_21004655,2024-10-30,11:20:48,3,WELCOME10,10,DV_61000002
OR_31000110,CS_11008962,PD_21000913,2025-02-04,4:26:44,5,No Coupons,0,DV_61000001
OR_31000111,CS_11008830,PD_21007688,2024-08-12,23:36:58,4,RALLY20,15,DV_61000004
OR_31000112,CS_11004941,PD_21001604,2024-05-14,5:51:13,8,No Coupons,0,DV_61000004
OR_31000113,CS_11001616,PD_21003534,2024-06-23,18:25:40,5,WELCOME10,15,DV_61000005
OR_31000114,CS_11005879,PD_21006527,2024-12-11,18:34:06,8,WELCOME10,20,DV_61000004
OR_31000115,CS_11006221,PD_21001494,2024-09-13,12:38:37,9,No Coupons,0,DV_61000005
OR_31000116,CS_11004023,PD_21008792,2024-08-28,14:45:26,2,WELCOME10,15,DV_61000001
OR_31000117,CS_11005164,PD_21005014,2024-10-12,4:45:45,6,FESTIVE20,20,DV_61000001
OR_31000118,CS_11002343,PD_21002498,2024-03-29,13:42:55,8,SUMMER15,10,DV_61000001
OR_31000119,CS_11008971,PD_21004847,2024-10-01,22:14:28,10,FESTIVE20,10,DV_61000001
OR_31000120,CS_11000641,PD_21003306,2024-12-12,18:33:21,2,No Coupons,0,DV_61000002
OR_31000121,CS_11004766,PD_21003372,2024-11-29,20:42:38,4,SUMMER15,10,DV_61000002
OR_31000122,CS_11005058,PD_21000801,2024-03-24,21:56:37,8,RALLY20,20,DV_61000001
OR_31000123,CS_11003747,PD_21001181,2024-08-16,19:12:33,9,RALLY20,20,DV_61000004
OR_31000124,CS_11002511,PD_21006789,2025-01-16,4:36:19,4,No Coupons,0,DV_61000005
OR_31000125,CS_11005758,PD_21007797,2024-03-21,15:37:49,1,No Coupons,0,DV_61000003
OR_31000126,CS_11003516,PD_21001861,2024-10-31,11:11:48,5,RALLY20,15,DV_61000005
OR_31000127,CS_11009351,PD_21009331,2024-10-01,23:52:02,2,No Coupons,0,DV_61000003
OR_31000128,CS_11004114,PD_21001129,2024-03-16,16:46:21,9,SUMMER15,15,DV_61000003
OR_31000129,CS_11008591,PD_21007607,2024-12-30,6:25:48,1,WELCOME10,15,DV_61000001
OR_31000130,CS_11002562,PD_21006597,2024-09-29,0:32:29,7,RALLY20,20,DV_61000003
OR_31000131,CS_11004254,PD_21001376,2024-08-19,3:36:54,2,SUMMER15,20,DV_61000001
OR_31000132,CS_11001308,PD_21000492,2024-09-28,12:36:25,9,No Coupons,0,DV_61000002
OR_31000133,CS_11007821,PD_21001340,2024-04-27,4:18:32,2,SUMMER15,20,DV_61000004
OR_31000134,CS_11007501,PD_21001517,2025-02-27,23:55:02,1,SUMMER15,15,DV_61000003
OR_31000135,CS_11006371,PD_21002527,2024-03-24,9:39:58,6,RALLY20,15,DV_61000004
OR_31000136,CS_11001041,PD_21005602,2024-08-17,5:51:05,2,SUMMER15,10,DV_61000001
OR_31000137,CS_11004569,PD_21002829,2024-12-21,4:01:55,10,No Coupons,0,DV_61000003
OR_31000138,CS_11002155,PD_21003700,2024-05-22,0:53:19,10,No Coupons,0,DV_61000005
OR_31000139,CS_11005070,PD_21003980,2024-08-20,9:26:52,2,RALLY20,20,DV_61000002
OR_31000140,CS_11009581,PD_21002446,2024-11-10,6:50:47,10,FESTIVE20,15,DV_61000002
OR_31000141,CS_11008730,PD_21007492,2024-06-05,15:33:16,6,FESTIVE20,20,DV_61000003
OR_31000142,CS_11004039,PD_21000011,2024-06-21,4:08:33,1,No Coupons,0,DV_61000002
OR_31000143,CS_11004787,PD_21002999,2024-09-23,21:24:42,7,No Coupons,0,DV_61000005
OR_31000144,CS_11008097,PD_21002761,2024-05-24,15:31:12,6,No Coupons,0,DV_61000004
OR_31000145,CS_11006012,PD_21002817,2024-07-17,12:20:42,9,FESTIVE20,15,DV_61000005
OR_31000146,CS_11006661,PD_21008978,2024-06-24,12:13:40,10,FESTIVE20,10,DV_61000002
OR_31000147,CS_11009407,PD_21000643,2024-09-25,4:14:41,1,WELCOME10,10,DV_61000004
OR_31000148,CS_11004244,PD_21005758,2025-01-31,21:57:54,1,No Coupons,0,DV_61000005
OR_31000149,CS_11008586,PD_21001758,2024-07-24,11:22:59,4,RALLY20,20,DV_61000001
OR_31000150,CS_11001108,PD_21000570,2024-09-04,6:17:05,6,No Coupons,0,DV_61000001
OR_31000151,CS_11009940,PD_21008391,2024-06-10,4:06:42,3,No Coupons,0,DV_61000004
OR_31000152,CS_11007222,PD_21000872,2024-04-23,22:15:06,3,RALLY20,15,DV_61000004
OR_31000153,CS_11004681,PD_21001687,2024-07-23,12:33:26,10,RALLY20,15,DV_61000004
OR_31000154,CS_11003936,PD_21001355,2024-11-11,23:48:34,10,WELCOME10,10,DV_61000001
OR_31000155,CS_11006923,PD_21006491,2024-06-19,21:52:50,2,WELCOME10,10,DV_61000005
OR_31000156,CS_11005385,PD_21006014,2025-02-04,1:58:15,6,WELCOME10,10,DV_61000004
OR_31000157,CS_11005160,PD_21005945,2024-08-28,23:05:41,6,No Coupons,0,DV_61000001
OR_31000158,CS_11005853,PD_21007431,2024-09-19,2:49:28,6,WELCOME10,20,DV_61000004
OR_31000159,CS_11002231,PD_21000893,2025-01-04,10:55:20,7,SUMMER15,10,DV_61000004
OR_31000160,CS_11008668,PD_21009402,2024-03-23,5:11:52,6,No Coupons,0,DV_61000004
OR_31000161,CS_11002591,PD_21000928,2024-12-04,12:57:56,3,RALLY20,15,DV_61000001
OR_31000162,CS_11001283,PD_21004638,2024-03-31,7:01:31,4,FESTIVE20,10,DV_61000005
OR_31000163,CS_11005363,PD_21006155,2024-05-08,3:23:58,10,No Coupons,0,DV_61000001
OR_31000164,CS_11007311,PD_21001392,2024-10-05,2:10:59,9,RALLY20,20,DV_61000001
OR_31000165,CS_11005548,PD_21004790,2024-11-23,16:33:21,2,FESTIVE20,20,DV_61000004
OR_31000166,CS_11001720,PD_21001370,2024-12-27,5:32:48,5,RALLY20,15,DV_61000003
OR_31000167,CS_11008449,PD_21006427,2024-06-01,5:05:06,10,RALLY20,15,DV_61000003
OR_31000168,CS_11000276,PD_21004669,2024-07-31,5:44:44,6,RALLY20,20,DV_61000003
OR_31000169,CS_11007491,PD_21007625,2024-05-05,10:43:08,6,WELCOME10,10,DV_61000001
OR_31000170,CS_11008297,PD_21003946,2025-02-03,22:24:59,7,No Coupons,0,DV_61000004
OR_31000171,CS_11004503,PD_21001878,2025-02-22,17:45:56,8,SUMMER15,10,DV_61000003
OR_31000172,CS_11004597,PD_21004021,2025-01-18,8:19:19,4,FESTIVE20,20,DV_61000002
OR_31000173,CS_11005176,PD_21006763,2024-10-04,13:26:29,2,WELCOME10,10,DV_61000002
OR_31000174,CS_11006975,PD_21005258,2024-09-13,20:30:23,2,WELCOME10,10,DV_61000002
OR_31000175,CS_11003524,PD_21002890,2025-01-11,9:48:05,7,SUMMER15,10,DV_61000005
OR_31000176,CS_11004163,PD_21008893,2024-03-10,7:52:39,3,No Coupons,0,DV_61000004
OR_31000177,CS_11007831,PD_21003897,2024-07-10,2:39:28,8,WELCOME10,15,DV_61000001
OR_31000178,CS_11003240,PD_21000268,2024-07-23,10:59:28,1,FESTIVE20,15,DV_61000001
OR_31000179,CS_11006463,PD_21002606,2024-06-13,23:08:27,6,SUMMER15,15,DV_61000004
OR_31000180,CS_11009675,PD_21002186,2024-07-18,16:05:55,1,SUMMER15,20,DV_61000005
OR_31000181,CS_11001762,PD_21009837,2024-11-28,19:27:00,4,No Coupons,0,DV_61000004
OR_31000182,CS_11008688,PD_21009548,2025-02-25,3:42:07,7,RALLY20,15,DV_61000005
OR_31000183,CS_11005596,PD_21007257,2024-08-20,22:28:29,6,SUMMER15,10,DV_61000003
OR_31000184,CS_11000717,PD_21001313,2024-04-03,20:42:51,3,WELCOME10,15,DV_61000003
OR_31000185,CS_11005297,PD_21004099,2024-04-26,23:06:18,2,FESTIVE20,15,DV_61000005
OR_31000186,CS_11007629,PD_21005817,2025-01-02,7:05:57,10,No Coupons,0,DV_61000004
OR_31000187,CS_11009565,PD_21007399,2024-11-04,11:01:59,10,SUMMER15,20,DV_61000003
OR_31000188,CS_11008664,PD_21006318,2024-08-13,5:10:54,6,FESTIVE20,20,DV_61000004
OR_31000189,CS_11006523,PD_21009291,2024-08-16,6:50:24,8,No Coupons,0,DV_61000003
OR_31000190,CS_11009714,PD_21009108,2024-12-07,23:08:46,5,No Coupons,0,DV_61000004
OR_31000191,CS_11000479,PD_21008237,2024-08-21,3:06:09,6,FESTIVE20,20,DV_61000004
OR_31000192,CS_11007980,PD_21002418,2024-11-13,13:44:55,8,FESTIVE20,15,DV_61000002
OR_31000193,CS_11002726,PD_21008244,2024-11-30,15:18:29,7,WELCOME10,10,DV_61000005
OR_31000194,CS_11007136,PD_21009306,2024-07-27,10:13:06,5,FESTIVE20,10,DV_61000001
OR_31000195,CS_11009007,PD_21003288,2024-04-27,2:06:24,3,WELCOME10,15,DV_61000005
OR_31000196,CS_11004323,PD_21009317,2024-12-23,18:08:21,9,RALLY20,15,DV_61000004
OR_31000197,CS_11003260,PD_21005320,2024-12-23,4:02:14,2,No Coupons,0,DV_61000004
OR_31000198,CS_11009495,PD_21004512,2024-04-27,2:11:10,7,WELCOME10,20,DV_61000005
OR_31000199,CS_11007827,PD_21000655,2024-09-14,13:01:33,2,RALLY20,15,DV_61000004
OR_31000200,CS_11009700,PD_21009780,2024-09-25,20:43:38,10,No Coupons,0,DV_61000003
OR_31000201,CS_11007694,PD_21007346,2024-10-09,23:13:16,10,RALLY20,15,DV_61000004
OR_31000202,CS_11009528,PD_21005876,2024-08-14,23:27:35,3,FESTIVE20,10,DV_61000005
OR_31000203,CS_11001369,PD_21002593,2024-05-03,11:59:46,3,RALLY20,10,DV_61000005
OR_31000204,CS_11001757,PD_21000539,2024-08-13,19:25:10,9,WELCOME10,15,DV_61000005
OR_31000205,CS_11007690,PD_21003315,2024-07-29,20:50:57,9,No Coupons,0,DV_61000002
OR_31000206,CS_11009173,PD_21007833,2024-04-03,15:59:22,5,WELCOME10,10,DV_61000002
OR_31000207,CS_11002768,PD_21006257,2024-11-10,13:55:38,1,RALLY20,15,DV_61000002
OR_31000208,CS_11008110,PD_21003813,2024-07-24,4:36:33,4,RALLY20,20,DV_61000002
OR_31000209,CS_11000255,PD_21000691,2025-01-17,8:21:46,9,No Coupons,0,DV_61000002
OR_31000210,CS_11004759,PD_21003241,2024-12-28,18:22:09,5,WELCOME10,15,DV_61000002
OR_31000211,CS_11007311,PD_21008065,2025-02-20,1:43:09,6,RALLY20,10,DV_61000002
OR_31000212,CS_11001360,PD_21004921,2024-09-07,0:27:11,4,FESTIVE20,15,DV_61000005
OR_31000213,CS_11004289,PD_21005562,2024-07-03,16:23:09,7,No Coupons,0,DV_61000001
OR_31000214,CS_11001058,PD_21002624,2024-10-23,4:50:17,3,SUMMER15,10,DV_61000002
OR_31000215,CS_11004729,PD_21002830,2025-01-29,1:53:37,6,FESTIVE20,10,DV_61000005
OR_31000216,CS_11007848,PD_21006688,2024-03-14,14:11:50,10,No Coupons,0,DV_61000001
OR_31000217,CS_11002243,PD_21005923,2024-07-07,10:56:45,7,SUMMER15,15,DV_61000002
OR_31000218,CS_11002555,PD_21001680,2024-04-30,14:38:36,4,SUMMER15,20,DV_61000001
OR_31000219,CS_11005906,PD_21009291,2024-06-19,11:59:00,5,SUMMER15,20,DV_61000001
OR_31000220,CS_11003564,PD_21006035,2024-07-17,19:47:25,2,RALLY20,20,DV_61000003
OR_31000221,CS_11006205,PD_21006677,2024-12-11,19:50:38,5,SUMMER15,10,DV_61000004
OR_31000222,CS_11008558,PD_21005423,2024-03-21,18:57:56,9,FESTIVE20,20,DV_61000003
OR_31000223,CS_11006438,PD_21006883,2024-09-27,19:02:55,2,WELCOME10,20,DV_61000001
OR_31000224,CS_11006657,PD_21001895,2024-11-29,2:01:38,9,FESTIVE20,15,DV_61000005
OR_31000225,CS_11002381,PD_21006916,2024-08-19,1:50:54,7,No Coupons,0,DV_61000002
OR_31000226,CS_11008578,PD_21006608,2024-12-30,9:20:53,8,No Coupons,0,DV_61000004
OR_31000227,CS_11008103,PD_21007361,2024-05-01,22:17:00,7,No Coupons,0,DV_61000002
OR_31000228,CS_11006534,PD_21007603,2025-01-31,12:25:58,3,RALLY20,15,DV_61000005
OR_31000229,CS_11003858,PD_21009896,2025-02-14,1:24:33,5,SUMMER15,15,DV_61000004
OR_31000230,CS_11004109,PD_21001408,2025-01-15,2:30:13,6,No Coupons,0,DV_61000003
OR_31000231,CS_11006923,PD_21002825,2025-02-05,13:20:13,7,No Coupons,0,DV_61000001
OR_31000232,CS_11006182,PD_21006631,2024-08-25,4:03:51,7,SUMMER15,15,DV_61000005
OR_31000233,CS_11001428,PD_21000992,2024-08-07,13:20:35,10,WELCOME10,10,DV_61000001
OR_31000234,CS_11008229,PD_21006849,2024-05-09,1:15:39,10,WELCOME10,20,DV_61000001
OR_31000235,CS_11004529,PD_21002539,2024-11-06,7:52:11,1,FESTIVE20,15,DV_61000002
OR_31000236,CS_11002430,PD_21002868,2025-02-04,15:19:29,3,WELCOME10,10,DV_61000005
OR_31000237,CS_11002326,PD_21008486,2024-03-12,11:41:53,2,No Coupons,0,DV_61000001
OR_31000238,CS_11009781,PD_21000065,2024-12-04,4:19:33,5,RALLY20,20,DV_61000003
OR_31000239,CS_11000543,PD_21007918,2024-12-07,23:20:14,8,SUMMER15,10,DV_61000004
OR_31000240,CS_11003505,PD_21004664,2024-09-07,15:46:17,10,RALLY20,10,DV_61000005
OR_31000241,CS_11006216,PD_21000353,2024-04-12,3:14:36,8,WELCOME10,15,DV_61000002
OR_31000242,CS_11006340,PD_21007345,2025-02-22,9:17:57,1,No Coupons,0,DV_61000005
OR_31000243,CS_11005778,PD_21004367,2024-03-21,19:49:40,2,SUMMER15,20,DV_61000002
OR_31000244,CS_11001890,PD_21004157,2024-09-04,17:17:27,7,No Coupons,0,DV_61000004
OR_31000245,CS_11006428,PD_21009477,2024-03-10,4:36:40,2,SUMMER15,20,DV_61000003
OR_31000246,CS_11002565,PD_21000464,2024-04-18,5:57:03,6,RALLY20,15,DV_61000001
OR_31000247,CS_11002329,PD_21002012,2024-06-13,0:19:25,5,No Coupons,0,DV_61000005
OR_31000248,CS_11001537,PD_21002519,2024-08-08,3:30:25,9,No Coupons,0,DV_61000002
OR_31000249,CS_11007166,PD_21004824,2024-06-11,1:40:53,4,SUMMER15,10,DV_61000004
OR_31000250,CS_11001092,PD_21002381,2024-11-11,7:24:02,6,No Coupons,0,DV_61000001
OR_31000251,CS_11004286,PD_21006772,2024-06-04,22:58:15,2,SUMMER15,20,DV_61000004
OR_31000252,CS_11006668,PD_21001357,2024-12-25,8:59:02,2,WELCOME10,20,DV_61000003
OR_31000253,CS_11005420,PD_21003206,2024-07-01,14:23:27,8,FESTIVE20,10,DV_61000001
OR_31000254,CS_11008560,PD_21009511,2024-06-06,2:49:20,3,No Coupons,0,DV_61000001
OR_31000255,CS_11005952,PD_21000281,2024-05-17,6:08:30,8,WELCOME10,20,DV_61000001
OR_31000256,CS_11002244,PD_21006999,2025-01-15,21:17:04,5,RALLY20,20,DV_61000002
OR_31000257,CS_11006161,PD_21004164,2024-10-22,5:10:34,1,WELCOME10,10,DV_61000001
OR_31000258,CS_11009346,PD_21001361,2024-08-26,1:56:19,8,No Coupons,0,DV_61000004
OR_31000259,CS_11009545,PD_21006214,2024-10-03,15:27:55,4,SUMMER15,20,DV_61000002
OR_31000260,CS_11009350,PD_21009178,2024-11-14,8:59:51,5,No Coupons,0,DV_61000001
OR_31000261,CS_11004456,PD_21009597,2024-04-06,17:41:22,8,SUMMER15,15,DV_61000004
OR_31000262,CS_11003852,PD_21006098,2024-11-18,22:58:01,1,SUMMER15,20,DV_61000004
OR_31000263,CS_11008486,PD_21003331,2024-05-06,12:11:23,5,FESTIVE20,15,DV_61000005
OR_31000264,CS_11005750,PD_21001786,2024-06-11,6:50:34,5,RALLY20,15,DV_61000004
OR_31000265,CS_11009571,PD_21000058,2024-09-10,3:36:14,6,RALLY20,15,DV_61000003
OR_31000266,CS_11005945,PD_21002048,2024-09-06,3:44:25,1,FESTIVE20,15,DV_61000001
OR_31000267,CS_11005688,PD_21009287,2024-11-23,16:16:44,3,WELCOME10,15,DV_61000001
OR_31000268,CS_11002640,PD_21000554,2024-07-04,0:40:20,7,No Coupons,0,DV_61000001
